##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260710_155224_single_device_d24da3
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,0
cols,0
data_points,336
data_stage,processed_display
has_raw_adc,false
display_mode,pressure
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161,ch162,ch163,ch164,ch165,ch166,ch167,ch168,ch169,ch170,ch171,ch172,ch173,ch174,ch175,ch176,ch177,ch178,ch179,ch180,ch181,ch182,ch183,ch184,ch185,ch186,ch187,ch188,ch189,ch190,ch191,ch192,ch193,ch194,ch195,ch196,ch197,ch198,ch199,ch200,ch201,ch202,ch203,ch204,ch205,ch206,ch207,ch208,ch209,ch210,ch211,ch212,ch213,ch214,ch215,ch216,ch217,ch218,ch219,ch220,ch221,ch222,ch223,ch224,ch225,ch226,ch227,ch228,ch229,ch230,ch231,ch232,ch233,ch234,ch235,ch236,ch237,ch238,ch239,ch240,ch241,ch242,ch243,ch244,ch245,ch246,ch247,ch248,ch249,ch250,ch251,ch252,ch253,ch254,ch255,ch256,ch257,ch258,ch259,ch260,ch261,ch262,ch263,ch264,ch265,ch266,ch267,ch268,ch269,ch270,ch271,ch272,ch273,ch274,ch275,ch276,ch277,ch278,ch279,ch280,ch281,ch282,ch283,ch284,ch285,ch286,ch287,ch288,ch289,ch290,ch291,ch292,ch293,ch294,ch295,ch296,ch297,ch298,ch299,ch300,ch301,ch302,ch303,ch304,ch305,ch306,ch307,ch308,ch309,ch310,ch311,ch312,ch313,ch314,ch315,ch316,ch317,ch318,ch319,ch320,ch321,ch322,ch323,ch324,ch325,ch326,ch327,ch328,ch329,ch330,ch331,ch332,ch333,ch334,ch335
1998433.803731,0.000000,0,4,0,8,8,2,2,2,4,2,3,4,4,3,4,2,3,2,4,2,4,3,2,6,8,4,3,3,4,4,5,4,2,6,5,11,4,1,4,1,4,3,3,138,2,1,3,4,3,5,8,3,8,4,3,10,2,0,4,4,3,3,4,2,11,3,5,6,3,8,3,4,2,4,2,7,3,766,6,31,20,694,6,604,11,11,372,129,7,2,60,59,16,3,2,454,2,32,681,14,35,3,84,545,38,3,1172,8,4,24,8,16,4,5,7,1576,582,2,13,315,7,20,35,205,1,4,7,32,297,935,366,746,920,66,530,349,3,4,260,658,662,18,6,1014,605,89,9,1335,8,3,258,559,238,919,522,327,1041,263,33,962,855,1226,16,526,911,423,922,832,842,46,10,1350,909,5,4,775,1279,915,142,840,390,508,11,13,872,19,131,0,1159,896,5,153,1357,1,4,4,3,3,4,2,3,8,2,5,1,4,4,3,3,5,3,2,5,5,4,4,3,4,2,2,2,2,2,1,3,5,13,3,5,4,5,3,2,4,3,3,6,3,4,4,4,4,4,1,2,0,11,3,0,8,2,4,6,4,3,8,1,4,2,0,265,25,2,414,4,109,734,7,20,988,151,181,3,5,32,16,341,4,4,3,34,302,2,0,487,133,15,4,27,4,3,2,3,32,2,2,1,13,2,0,5,4,5,3,2,3,0,3,2,3,0,16,3,4,4,2,2,3,0,4,4,2,2,4,2,3,3,3,3,1,21,3,2,2,0,0,3
1998433.822267,0.014000,1,4,5,4,3,363,3,3,2,20,2,12,82,4,6,11,2,3,3,0,3,3,2,56,2,3,11,3,2,2,3,2,2,2,8,1,4,4,4,2,2,2,3,7,2,1,2,5,5,3,6,6,0,2,3,2,2,2,2,3,2,1,3,2,3,2,4,2,2,2,1,4,5,3,4,2,2,3,3,2,3,2,4,5,4,4,4,6,4,1,3,4,128,5,4,2,2,2,4,3,3,8,7,3,2,2,3,3,4,5,4,3,4,4,3,3,3,3,4,5,4,3,6,5,5,4,4,3,3,3,6,7,2,3,5,5,1,8,8,2,6,4,2,0,4,3,5,710,852,3,2,4,2,220,2,12,920,3,8,128,4,5,24,6,2,5,5,390,2,6,16,4,4,1,4,4,3,451,4,568,7,4,13,2,626,14,649,8,1,868,21,5,9,1028,1043,24,2,425,560,506,140,3,371,159,332,30,181,2,13,18,138,111,0,60,1528,5,392,1224,7,52,1095,632,15,5,33,977,27,24,1551,492,16,1,466,1069,181,7,4,1232,879,10,610,171,14,634,715,513,458,8,6,501,657,268,610,1,4,457,2,4,3,4,2,4,4,7,3,5,3,2,8,3,8,4,5,2,32,6,8,5,4,5,5,3,4,4,3,4,7,4,3,1,4,3,3,4,3,4,2,4,11,5,3,3,4,3,4,1,2,1,4,3,10,4,6,4,2,4,8,4,3,3,5,4,11,5,2,345,334,3,4,2,3,3,468,606,13,4,3
1998433.823592,0.014000,2,5,5,2,3,1,3,3,2,2,6,5,3,4,3,2,4,4,3,4,2,12,3,5,4,4,4,1,4,5,5,3,575,18,22,3,2,5,5,196,13,421,7,495,2,2,556,8,423,479,42,37,2,2,3,84,2,108,3,4,4,205,774,8,8,2,3,3,2,2,20,48,3,5,3,2,0,1,3,1,3,3,3,3,5,5,2,2,6,4,4,2,4,3,3,4,3,4,4,3,2,0,0,3,2,4,2,3,2,3,3,1,6,2,1,2,3,3,3,3,4,4,4,6,4,2,4,12,3,3,2,2,5,4,3,2,2,2,3,4,4,1,2,2,3,4,4,4,2,2,1,2,2,3,8,3,4,4,3,3,4,3,2,3,3,4,4,2,4,3,4,3,4,3,2,3,3,6,3,3,4,3,2,3,2,3,174,3,5,4,3,2,4,4,1,7,4,2,2,4,4,8,3,4,3,4,3,3,3,22,7,4,8,7,446,3,12,5,4,14,204,4,3,286,2,1012,1,3,296,4,128,428,750,7,6,4,5,354,18,51,290,4,1,761,25,22,1,3,55,790,455,181,3,132,34,2,30,7,4,2,4,23,869,4,1334,158,17,0,11,22,207,2,651,16,136,995,562,173,1080,11,4,4,1157,1128,222,250,14,1108,4,17,16,8,272,3,1099,1228,657,382,192,416,417,316,104,572,5,911,797,66,667,796,988,1025,1180,675,383,6,469,616,1175,2,3,3,5,0,4,3,3,2,4,8,1,3,2,3,4,3,4
1998433.852256,0.041000,3,9,2,1171,6,310,6,187,376,289,555,1056,1039,732,977,766,877,46,6,76,1209,830,9,74,815,443,1279,863,552,2,204,1,2,3,2,19,4,4,9,4,4,3,3,24,3,2,2,6,2,4,6,1,5,2,3,8,3,0,3,8,4,5,4,1,1,2,1,2,2,2,2,3,4,2,4,9,3,4,3,0,2,2,6,3,4,3,3,7,4,4,5,6,336,4,8,5,4,88,6,92,2,351,1,13,7,0,2,3,553,448,201,2,3,3,694,2,11,2,20,5,0,4,9,2,136,2,5,3,6,8,359,5,1,3,2,2,3,3,8,2,3,5,3,4,5,2,3,3,2,3,2,2,4,4,3,3,4,7,8,9,4,3,7,3,10,45,2,3,3,4,4,2,42,3,2,1,2,2,1,4,3,4,3,2,2,2,49,2,3,3,3,4,4,2,5,3,4,2,3,3,3,3,3,6,4,4,2,1,2,2,3,0,2,2,3,3,3,4,4,4,2,2,2,3,4,2,3,4,4,6,3,2,2,2,2,4,2,3,2,4,4,2,4,4,8,1,3,3,2,4,2,4,4,4,4,4,1,2,4,4,2,2,1,3,2,6,1,5,3,3,3,4,4,4,3,5,5,4,3,4,4,3,1,4,5,4,20,3,4,3,4,557,2,9,2,3,156,4,11,4,3,731,3,90,9,624,3,10,4,620,592,6,512,4,3,3,330,24,590,4,15,0,929,4,5,3,5,3,2,2,4,3,272,525,606,56,402
1998433.881443,0.069000,4,11,59,4,5,5,98,3,3,4,1,21,2,11,50,2,46,6,51,636,3,23,4,633,403,123,4,20,6,3,813,47,18,349,52,112,48,5,747,3,7,4,460,538,709,23,10,594,617,81,192,129,10,6,706,32,910,3,1162,8,130,700,10,2,304,198,2,11,358,202,513,7,1597,877,4,19,1295,1027,72,353,2,698,849,214,759,540,443,38,870,773,205,42,371,886,155,480,481,3,4,2,3,0,3,3,1,3,3,4,4,4,6,5,2,5,2,3,8,2,1,3,3,5,4,2,3,2,6,5,2,3,5,2,4,2,4,0,5,4,3,2,4,1,0,4,7,4,3,4,1,4,7,3,2,2,0,1,4,12,4,2,3,2,2,10,3,4,842,4,4,12,178,6,2,25,4,4,3,41,586,6,2,8,3,627,2,2,717,2,7,3,14,3,171,4,2,22,2,18,51,428,4,6,3,2,4,1,4,0,870,1,2,3,1,3,2,2,6,2,3,1,2,4,7,3,3,2,1,3,4,3,4,3,2,2,5,5,3,2,1,2,4,4,4,3,5,5,3,2,4,3,1,2,4,3,2,2,10,3,4,4,3,8,0,4,3,2,2,8,1,2,2,2,4,4,26,2,3,4,4,2,3,2,4,4,3,2,2,4,7,3,2,2,0,3,3,2,2,2,2,5,4,5,3,2,2,2,2,1,2,2,5,3,4,4,4,2,2,3,2,2,3,3,2,3,4,4,2,2,2,1,2,0,2,3,2,2,3
1998433.889639,0.078000,5,3,8,2,1,4,3,2,2,2,2,3,3,4,3,2,1,1,2,2,3,3,4,17,10,3,3,2,3,3,10,4,4,3,3,10,4,3,2,4,0,2,2,34,3,4,3,2,3,2,4,3,2,2,2,6,4,1,513,4,586,445,622,5,55,2,5,4,6,388,40,4,12,4,4,22,6,8,2,9,1030,502,65,26,109,15,6,1125,662,4,2,2,938,690,2,3,4,7,292,3,837,544,668,7,736,203,456,148,38,708,26,70,431,637,402,12,4,25,383,710,980,163,721,320,1100,6,1,962,6,11,2391,380,9,1275,772,544,67,1110,1028,73,4,1070,738,134,646,195,137,190,1170,140,3,1,570,718,36,209,1205,3,3,2,3,4,3,3,4,6,11,3,5,4,5,3,4,1,2,5,4,22,1,7,6,2,1,3,4,3,192,4,3,4,4,3,4,4,8,2,2,4,3,3,4,2,8,5,4,3,4,3,2,4,4,10,2,2,2,2,3,4,2,4,3,3,3,2,1,3,8,4,5,4,1,4,2,4,3,0,6,3,1,3,5,4,6,4,359,382,274,2,3,520,5,5,2,4,1,305,179,48,3,230,6,3,90,285,4,7,0,402,4,10,1,6,378,26,4,4,4,2,76,4,16,5,8,3,1,5,4,4,3,4,3,3,1,4,2,4,2,3,2,3,2,4,3,4,4,2,0,1,2,1,2,3,8,8,3,3,4,2,3,3,3,3,2,3,4,3,11,2,3,2,2,1,2,2,3,4,4
1998433.942389,0.131000,6,4,4,4,2,2,4,3,1,3,3,3,1,3,4,4,4,2,24,1,3,3,1,4,3,3,3,3,3,8,2,1,5,4,3,3,4,3,4,2,4,3,3,23,6,2,2,2,1,3,9,2,3,2,3,5,2,3,3,3,4,3,2,3,7,2,4,2,3,2,2,1,4,4,4,1,3,4,4,2,1,2,2,5,4,2,2,4,3,4,4,6,196,11,2,3,4,4,4,2,8,1,3,2,2,2,5,4,3,3,8,4,4,1,3,3,3,2,3,4,4,4,8,6,7,2,14,13,634,472,2,4,4,100,177,2,144,2,70,11,4,991,3,863,3,5,167,749,507,4,734,2,33,20,197,681,809,4,4,6,1015,20,4,2,169,430,964,42,5,4,7,140,17,2,196,776,1065,5,4,20,31,6,1535,4,11,5,717,598,728,616,2,1099,736,152,427,1147,10,20,24,6,300,183,326,727,34,19,5,390,5,486,2,8,923,673,648,5,1727,577,280,4,541,972,41,20,596,494,801,644,1018,293,21,78,816,880,3,5,45,227,819,5,563,5,4,5,5,2,3,5,2,3,4,4,4,5,2,3,3,2,3,5,4,3,2,7,5,5,3,4,3,3,3,2,5,6,10,3,6,5,5,3,4,2,4,7,1,4,4,5,4,4,3,2,2,2,2,3,3,1,3,3,3,4,1,4,2,1,1,2,2,4,2,19,3,13,8,17,3,21,3,29,2,3,5,2,62,84,897,0,2,2,21,3,2,4,2,3,6
1998433.975209,0.163000,7,4,4,2,2,2,6,5,1,1,5,4,5,4,2,2,8,10,3,32,10,2,620,4,572,17,1464,20,3,4,935,10,2,2,4,5,4,22,4,2,2,9,2,5,5,14,3,3,7,20,4,3,3,10,4,1,3,4,4,1,2,4,4,10,4,2,4,3,2,4,4,9,3,4,3,6,2,2,3,2,3,4,3,4,3,2,3,1,2,3,3,2,32,4,4,3,4,2,3,2,1,2,1,2,3,3,4,3,4,2,4,4,3,4,1,2,3,4,4,3,2,3,3,2,4,1,2,3,2,2,4,4,4,5,4,1,1,2,2,3,2,4,1,3,3,4,7,4,4,3,1,3,3,3,4,1,5,4,3,2,4,1,4,4,3,2,3,4,6,5,8,2,3,2,3,3,7,8,0,1,5,4,3,3,4,8,44,3,6,4,3,1,4,6,3,3,4,4,0,2,2,3,5,5,3,1,14,2,2,1,2,8,3,4,580,76,4,153,2,21,6,2,0,717,1,5,401,4,4,2,273,1,0,779,3,421,0,4,308,848,2,6,9,2,1,308,598,8,22,14,266,9,9,341,995,20,24,0,926,1272,55,4,308,793,128,650,932,7,4,4,12,305,594,29,862,233,204,383,281,8,388,1227,5,4,2,833,532,7,267,316,158,29,1130,1075,162,185,1158,918,994,780,1473,525,666,610,1044,754,4,5,94,235,11,383,1723,2,2,1,3,3,2,2,2,3,3,4,3,4,2,2,4,2,4,2,3,2,4,4,3
1998433.975257,0.163000,8,333,20,11,626,305,4,581,791,1373,636,1165,1338,414,3,956,103,1265,6,2,2,4,4,25,49,2,4,3,3,3,6,2,4,6,1,4,8,4,4,2,4,2,0,148,6,4,3,4,5,4,3,4,2,2,2,6,3,8,4,2,3,4,2,1,1,1,3,2,2,3,7,2,3,5,2,4,2,1,3,3,2,1,3,9,3,2,489,4,6,3,418,78,4,32,24,4,1,4,5,19,32,2,16,0,1,2,284,4,1,3,6,40,322,658,0,586,10,5,307,24,60,2,3,4,5,3,2,35,3,2,2,2,3,3,3,338,113,1,1,5,3,4,4,4,5,20,4,3,2,3,68,3,2,2,3,4,3,4,3,2,4,2,2,2,3,2,2,3,3,3,3,4,3,3,3,3,3,3,4,2,5,4,1,4,2,2,2,2,2,4,4,2,4,3,3,6,2,4,3,4,2,3,4,4,4,1,2,3,4,4,2,3,4,2,4,3,2,4,4,2,2,2,3,2,2,3,2,3,4,4,4,2,1,1,2,1,3,3,2,3,4,4,4,3,9,3,2,3,4,3,4,2,3,4,4,2,2,1,4,4,3,1,4,4,2,6,5,3,2,2,1,2,373,4,18,4,4,773,522,2,4,2,18,55,2,4,18,2,3,4,4,4,0,6,18,700,1428,6,4,2,3,6,449,2,2,567,0,4,3,9,115,3,547,10,718,3,17,133,454,4,3,0,414,8,6,14,315,2,3,2,90,166,32,14,4,10,2
1998433.990800,0.181000,9,32,10,11,320,21,3,10,2,4,2,4,5,13,788,10,2,25,8,8,46,21,224,626,641,4,1112,546,18,2,40,187,892,48,6,945,665,5,669,805,13,2,4,640,1198,4,701,23,32,392,1176,175,18,12,571,113,489,1,636,25,978,754,634,12,5,873,107,420,371,215,1163,180,1080,680,840,25,60,411,1137,696,168,308,11,258,128,6,10,579,5,4,4,6,238,5,4,2,3,3,1,2,4,3,4,4,4,2,2,3,3,2,5,5,4,2,4,6,3,3,12,3,4,10,5,4,3,2,2,9,5,10,3,2,3,4,5,3,3,4,0,3,3,1,8,6,7,3,6,4,4,4,2,4,3,1,4,3,4,427,4,0,14,4,4,131,35,566,1568,2,10,16,2,4,4,1,4,6,353,5,4,16,3,4,21,5,2,2,14,1270,2,685,2,394,4,4,2,16,359,2,3,3,4,1,2,2,6,2,4,2,6,2,2,1,3,4,3,18,4,4,9,2,2,3,2,1,1,2,2,3,4,3,4,2,2,4,17,3,3,5,2,4,2,4,3,3,5,5,3,8,3,2,5,4,5,1,4,2,2,4,2,1,2,4,4,4,2,3,3,3,3,1,3,2,4,6,8,4,5,4,4,4,4,3,2,3,2,6,3,4,4,3,1,2,3,2,2,3,3,2,4,5,4,4,3,3,3,2,2,2,1,4,2,4,5,2,4,4,0,3,3,6,6,16,3,4,4,4,3,3,2,3,1,1,1,4,3,2,4
