##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时03分05秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时03分05秒.328,4,2,3,1,2,4,4,4,32,30,34,27,31,8,10,9,28,26,35,31,29,10,11,10,43,43,45,41,52,10,9,12,5,5,5,5,5,6,5,5,6,5,4,8,5,8,8,6,4,6,5,5,4,4,5,5,3,4,4,2,3,4,5,4,3,2,3,2,3,4,4,3,7,6,6,5,6,6,6,5,2,2,1,3,4,2,2,4,6,6,5,4,5,7,8,6,936.0,1.0,52.0,9.75,96.0,1.1819001701804714,3.4915523529052734,4.326821327209473
14时03分05秒.359,2,2,4,4,1,1,2,1,32,29,35,28,31,11,10,9,26,25,36,31,29,10,10,11,43,41,45,41,52,8,11,9,5,6,5,4,5,5,6,5,7,6,4,5,4,6,6,8,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5,4,2,1,2,4,2,2,4,6,4,5,5,4,5,5,5,2,4,2,2,3,2,2,3,6,8,7,5,7,7,8,7,926.0,1.0,52.0,9.65,96.0,1.1929736746053872,3.4915523529052734,4.326821327209473
14时03分05秒.408,5,4,2,3,3,2,3,4,32,30,34,28,31,8,10,8,26,26,36,32,29,10,10,10,44,44,46,41,52,9,9,10,7,5,6,6,7,5,5,6,5,6,5,5,6,5,8,7,4,5,4,4,4,5,5,4,4,4,4,4,5,5,5,4,2,2,3,5,2,2,4,3,6,5,5,5,5,6,7,5,2,3,3,3,2,2,1,3,8,6,5,5,5,8,8,8,944.0,1.0,52.0,9.83,96.0,1.1799154703167465,3.4258475303649902,4.24470329284668
14时03分05秒.458,2,2,3,4,3,4,2,3,32,29,34,28,31,8,9,9,26,26,36,32,29,8,10,10,43,44,46,41,51,8,10,9,6,5,4,4,5,6,5,5,7,5,5,5,5,8,8,10,5,6,6,5,7,7,5,6,6,5,3,4,5,4,5,5,2,2,2,2,1,1,2,2,2,5,5,4,4,5,4,5,2,2,2,1,3,2,1,2,7,7,7,5,6,8,9,8,929.0,1.0,51.0,9.68,96.0,1.1998783117005507,3.4258475303649902,4.24470329284668
14时03分05秒.508,3,3,3,1,2,4,2,4,32,29,34,28,31,10,9,8,26,25,36,32,29,11,10,9,43,42,46,41,54,9,11,10,6,5,7,5,5,5,8,5,5,6,5,5,5,6,8,6,5,5,6,4,5,5,6,6,5,4,4,5,3,5,5,4,2,3,2,2,2,4,4,4,6,6,5,5,5,6,5,8,3,4,1,3,4,2,1,2,6,5,6,6,5,7,8,7,945.0,1.0,54.0,9.84,96.0,1.173975236128621,3.4258475303649902,4.24470329284668
14时03分05秒.559,3,2,2,1,1,2,2,3,31,29,34,28,32,9,10,10,26,25,35,33,29,9,11,12,43,41,45,42,52,10,10,9,7,5,5,4,4,5,5,5,5,5,6,4,5,7,6,6,5,5,5,5,6,5,6,7,4,5,4,3,5,5,4,4,2,3,2,2,1,3,2,2,4,5,5,4,6,5,5,6,3,2,2,3,2,2,2,5,8,6,6,7,6,8,9,8,929.0,1.0,52.0,9.68,96.0,1.192438858254287,3.4258475303649902,4.24470329284668
14时03分05秒.608,4,4,2,3,4,2,4,1,31,29,35,28,30,8,10,8,26,25,35,32,29,10,10,10,43,41,45,42,53,9,11,10,7,6,7,7,5,6,5,7,4,5,4,5,5,6,6,8,5,4,5,4,4,5,5,5,4,5,3,4,5,3,5,5,2,3,4,2,3,4,3,3,6,5,5,5,5,5,6,7,4,1,2,3,4,2,4,3,5,5,5,5,6,7,7,8,937.0,1.0,53.0,9.76,96.0,1.1726231843917374,3.4722518920898438,4.252401351928711
14时03分05秒.659,2,3,3,2,1,2,3,3,32,29,35,28,31,9,10,9,29,28,33,32,29,11,11,10,43,41,44,42,51,9,9,8,5,5,5,5,5,4,5,5,5,6,4,6,5,6,8,7,5,6,7,4,7,6,6,5,5,3,4,4,4,5,4,4,2,3,2,2,3,2,1,2,5,4,5,4,5,5,6,5,2,2,4,2,2,4,1,4,6,7,7,5,6,8,10,9,932.0,1.0,51.0,9.71,96.0,1.1848214528567846,3.4722518920898438,4.252401351928711
14时03分05秒.725,2,2,2,2,2,2,1,1,32,29,35,27,31,9,10,9,27,25,35,32,29,10,11,10,43,42,44,42,52,9,11,9,5,7,6,5,5,8,7,7,5,5,7,5,6,6,9,8,6,4,5,4,4,4,5,5,4,3,4,3,3,5,5,4,2,3,2,4,2,2,3,3,5,6,5,5,5,5,5,7,2,2,3,4,4,2,3,3,5,6,5,5,5,7,8,8,932.0,1.0,52.0,9.71,96.0,1.1859402793498117,3.4722518920898438,4.252401351928711
14时03分05秒.774,3,2,2,1,2,1,2,3,32,29,34,27,31,9,9,10,27,25,34,32,29,10,10,9,43,42,44,41,52,9,10,10,5,4,7,4,6,5,8,5,6,4,5,5,7,5,7,7,5,5,6,5,6,6,5,7,5,5,5,5,4,5,5,4,2,2,2,2,2,1,2,2,3,5,4,4,5,4,5,7,3,2,3,3,2,2,3,2,6,5,5,5,6,8,10,10,924.0,1.0,52.0,9.62,96.0,1.191624790254408,3.4722518920898438,4.252401351928711
