##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时13分08秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时13分08秒.250,2,2,3,4,1,2,3,2,4,1,10,12,23,93,126,48,4,2,11,11,23,512,250,64,2,2,3,2,4,4,4,4,3,2,11,16,23,21,21,19,4,2,7,8,8,8,8,8,3,2,5,3,4,4,4,4,2,1,2,1,3,2,3,2,4,2,6,6,7,9,10,10,3,4,6,3,4,4,4,3,4,1,4,3,3,4,4,2,4,2,5,5,7,7,9,9,1610.0,1.0,512.0,16.77,96.0,3.5168171373659187,5.519876003265381,3.3881988525390625
14时13分08秒.252,3,2,1,2,2,3,2,4,3,3,10,12,23,93,126,49,3,3,11,13,23,512,250,64,1,3,4,4,2,2,2,2,4,3,10,16,23,21,22,17,4,3,7,5,6,8,9,8,3,3,6,4,6,5,5,6,4,2,4,3,3,1,3,4,4,3,6,7,6,9,9,7,2,4,3,4,4,3,3,3,3,4,4,4,3,4,5,5,5,4,7,6,8,9,9,9,1631.0,1.0,512.0,16.99,96.0,3.4689053569081874,5.519876003265381,3.3881988525390625
14时13分08秒.253,4,3,4,2,4,4,2,3,3,2,11,11,21,93,125,48,3,3,10,10,23,512,250,64,4,2,3,2,3,4,2,4,4,2,13,16,23,24,22,17,4,2,8,6,9,9,8,8,4,3,5,4,4,5,4,5,3,2,4,4,2,3,3,2,2,4,6,5,8,9,10,8,2,4,4,4,4,4,4,5,5,2,5,4,4,4,4,3,2,4,5,6,7,7,8,9,1633.0,2.0,512.0,17.01,96.0,3.4627132722101974,5.519876003265381,3.3881988525390625
14时13分08秒.253,3,2,4,4,3,2,3,2,4,3,10,11,21,95,125,50,3,2,10,11,22,512,250,64,3,3,4,2,3,1,2,1,4,2,10,16,23,23,22,17,3,2,5,7,8,10,8,9,4,2,5,5,6,6,6,5,4,4,5,1,2,4,4,2,4,2,5,5,8,7,8,7,4,3,3,4,3,2,3,3,4,2,4,2,4,3,5,4,5,3,7,6,8,10,9,10,1626.0,1.0,512.0,16.94,96.0,3.4810675872954784,5.519876003265381,3.3881988525390625
14时13分08秒.254,2,2,2,2,2,2,2,1,3,2,11,11,21,93,125,50,2,2,10,11,22,512,250,64,4,2,3,3,4,4,4,4,5,2,11,18,24,23,22,17,5,2,6,6,7,9,9,8,2,4,4,4,5,4,5,4,2,3,3,4,4,3,2,2,2,3,7,7,7,9,9,10,2,2,6,3,4,2,4,3,3,3,4,4,3,4,3,2,3,3,5,5,8,8,7,8,1614.0,1.0,512.0,16.81,96.0,3.507154037617521,5.519876003265381,3.3881988525390625
14时13分08秒.254,1,1,4,2,4,4,4,2,2,3,10,10,22,94,127,49,4,2,10,11,22,512,250,64,3,2,2,2,2,2,3,1,3,1,10,16,24,23,22,17,3,4,6,5,7,9,9,9,4,3,5,5,6,6,8,5,3,2,3,4,2,2,3,4,3,3,5,6,5,8,9,7,2,3,2,2,5,3,4,3,2,2,4,3,3,4,3,2,4,4,6,6,8,9,9,9,1612.0,1.0,512.0,16.79,96.0,3.514624466423985,5.519876003265381,3.3881988525390625
14时13分08秒.255,2,3,3,3,3,2,2,2,3,3,11,10,22,94,125,48,1,3,10,11,23,513,250,64,4,4,4,4,4,4,5,4,5,2,12,16,23,22,23,17,5,4,7,6,7,8,7,9,2,2,4,5,6,4,3,5,2,2,2,2,2,2,2,2,3,3,5,6,8,9,8,11,3,3,5,3,5,4,4,6,3,2,4,1,3,4,3,5,4,3,6,8,5,7,8,9,1625.0,1.0,513.0,16.93,96.0,3.4871156253579243,5.519876003265381,3.3881988525390625
14时13分08秒.256,2,3,2,2,4,4,4,3,4,3,11,10,21,94,127,48,3,4,10,11,22,512,252,65,4,3,3,4,4,4,2,1,3,4,11,18,23,22,22,17,4,2,8,6,6,8,9,8,4,3,5,5,5,5,5,5,3,3,3,4,1,3,1,1,4,2,6,6,5,8,9,8,4,3,4,4,2,2,4,3,4,2,2,4,3,4,5,4,4,3,6,6,7,11,8,8,1628.0,1.0,512.0,16.96,96.0,3.4827981661303613,5.519876003265381,3.3881988525390625
14时13分08秒.256,3,4,4,3,3,2,3,2,4,3,11,12,21,94,127,49,2,3,10,11,22,513,250,65,3,2,4,2,5,4,4,4,4,3,11,15,23,22,22,17,4,2,6,5,7,10,8,8,2,4,5,4,3,4,4,4,4,2,2,3,1,2,3,2,4,4,5,6,9,9,9,8,2,3,3,3,4,4,3,3,3,3,3,3,3,3,2,4,4,4,5,6,7,7,8,8,1617.0,1.0,513.0,16.84,96.0,3.5082117623914058,5.519876003265381,3.3881988525390625
14时13分08秒.256,2,2,3,2,4,2,4,4,2,2,11,12,21,94,127,49,3,2,12,11,22,513,250,65,5,3,3,4,1,2,3,2,4,2,11,15,23,21,22,17,3,2,6,6,7,10,10,9,3,1,5,7,5,6,6,6,4,3,2,4,3,3,3,2,3,2,6,5,7,9,8,8,2,2,4,3,3,3,2,4,2,3,5,4,4,5,6,3,4,3,6,6,7,9,9,9,1629.0,1.0,513.0,16.97,96.0,3.481226954352192,5.519876003265381,3.3881988525390625
14时13分08秒.258,3,3,2,2,2,2,2,2,4,2,10,11,24,94,125,49,2,3,11,13,22,513,250,64,4,4,5,4,3,4,4,4,4,3,11,15,23,21,22,17,5,2,7,6,8,9,8,8,3,3,5,4,5,5,3,3,3,4,3,2,1,3,3,3,4,4,6,8,8,9,10,8,2,4,6,4,4,4,3,3,2,2,3,4,2,2,3,3,3,2,6,8,5,9,8,8,1626.0,1.0,513.0,16.94,96.0,3.485216573898481,5.519876003265381,3.3881988525390625
14时13分08秒.258,2,1,2,3,4,4,4,1,2,4,10,13,24,95,127,49,4,2,11,10,22,513,250,64,3,3,4,4,3,1,3,2,5,3,11,15,23,21,23,19,4,2,6,5,7,9,10,8,4,4,5,4,8,8,6,5,2,2,2,3,2,1,2,3,4,2,5,6,8,7,7,7,2,2,4,2,4,4,5,4,2,2,3,3,5,4,3,4,4,2,6,6,8,8,9,9,1627.0,1.0,513.0,16.95,96.0,3.4868889605212225,5.519876003265381,3.3881988525390625
14时13分08秒.268,4,1,3,2,4,2,2,3,3,3,9,13,22,93,126,49,2,2,11,11,22,513,250,64,3,2,4,2,2,4,5,3,5,3,11,15,24,24,22,19,3,3,7,6,7,9,9,7,3,2,4,4,5,4,3,5,2,2,2,4,2,2,3,4,5,3,6,5,8,10,10,9,3,2,4,5,4,4,3,3,3,2,5,4,3,4,4,2,4,4,4,5,9,7,9,8,1625.0,1.0,513.0,16.93,96.0,3.48843941643397,5.519876003265381,3.3881988525390625
14时13分08秒.268,3,4,4,2,2,4,1,3,5,1,11,10,22,94,127,50,4,2,11,11,23,513,250,67,5,3,3,3,2,3,2,4,5,4,11,15,24,22,22,19,4,1,8,5,6,9,9,8,5,3,5,4,5,6,5,6,2,2,2,2,3,4,3,2,3,2,5,5,8,8,9,8,2,3,2,4,3,4,2,4,4,3,3,3,3,4,3,4,2,2,6,7,8,9,9,9,1631.0,1.0,513.0,16.99,96.0,3.479137510436048,5.519876003265381,3.3881988525390625
14时13分08秒.269,2,4,4,4,2,3,3,4,4,4,10,11,21,93,125,50,3,1,10,11,22,513,250,64,5,2,4,5,4,5,4,4,5,3,11,17,24,22,22,18,4,3,5,7,8,8,8,7,4,2,3,4,4,3,4,4,2,4,2,2,3,3,3,3,4,2,5,5,6,9,9,8,3,2,4,3,3,3,2,4,4,4,3,2,4,4,4,3,3,4,6,6,7,8,9,8,1624.0,1.0,513.0,16.92,96.0,3.488808229606039,5.519876003265381,3.3881988525390625
14时13分08秒.270,2,2,2,2,2,4,4,3,3,5,10,11,24,94,125,50,2,3,10,13,22,513,251,64,4,2,4,2,3,2,1,2,4,2,10,14,22,22,22,17,3,2,5,7,9,8,9,9,3,2,6,6,5,5,5,6,2,3,2,3,2,2,2,4,4,4,5,7,7,8,6,9,2,2,1,4,3,5,3,2,3,2,5,4,3,4,5,5,2,3,5,6,7,8,9,10,1617.0,1.0,513.0,16.84,96.0,3.5087350048906445,5.519876003265381,3.3881988525390625
14时13分08秒.308,3,2,3,2,4,2,2,2,5,3,10,10,21,94,127,49,3,2,10,11,22,513,251,64,4,3,3,5,2,4,4,4,5,2,11,16,23,22,22,17,4,4,6,6,8,9,8,10,4,2,5,4,4,4,4,5,2,2,3,3,2,3,3,3,3,3,6,6,7,10,10,9,3,4,4,4,4,3,4,2,2,2,3,4,4,3,3,4,3,2,5,5,6,9,7,9,1623.0,2.0,513.0,16.91,96.0,3.49654292169637,5.519876003265381,3.3881988525390625
14时13分08秒.358,3,2,2,2,1,3,3,4,3,3,10,11,21,94,127,49,2,2,11,11,22,515,251,64,2,3,5,2,3,3,2,1,5,2,11,16,24,22,22,19,5,2,6,6,7,10,8,10,3,2,6,4,5,6,6,5,2,2,2,3,3,4,2,4,4,3,8,5,6,8,7,7,2,2,3,2,4,4,4,4,2,2,4,5,3,4,4,4,4,3,7,7,8,9,9,10,1629.0,1.0,515.0,16.97,96.0,3.4942859159824327,5.519876003265381,3.3881988525390625
14时13分08秒.424,4,2,2,3,2,3,2,4,5,4,10,11,21,94,125,50,5,4,10,13,22,516,250,64,4,3,4,4,3,3,5,4,5,4,11,13,23,22,22,18,5,5,7,6,6,8,8,9,2,2,4,5,4,5,6,4,3,3,3,3,2,2,2,4,3,2,6,5,8,9,9,8,5,2,4,3,4,4,3,3,3,2,5,4,2,3,3,2,2,1,6,6,6,7,8,9,1629.0,1.0,516.0,16.97,96.0,3.493933892674027,5.519876003265381,3.3881988525390625
14时13分08秒.458,2,3,2,4,1,2,2,4,3,2,10,11,21,94,127,50,4,2,10,13,22,516,250,64,3,4,3,1,2,4,4,3,3,2,10,16,23,21,22,17,3,3,5,7,8,8,8,9,2,3,5,5,6,5,5,6,3,3,4,3,4,2,2,4,2,3,6,5,7,8,8,8,2,4,4,3,5,3,3,4,2,3,4,3,2,4,5,5,5,3,8,5,7,9,9,8,1627.0,1.0,516.0,16.95,96.0,3.5011087751331704,5.515980243682861,3.426859140396118
14时13分08秒.507,3,2,2,3,4,2,4,4,4,3,9,13,21,93,126,50,4,3,12,12,22,514,250,64,5,2,4,3,3,4,3,4,3,2,12,15,24,25,21,19,3,2,7,5,7,8,8,8,1,3,4,5,4,5,5,5,4,3,3,2,4,2,3,2,5,2,5,7,8,9,9,10,2,3,4,4,4,5,5,5,2,1,4,2,2,3,2,3,5,3,6,5,5,8,9,9,1632.0,1.0,514.0,17.0,96.0,3.4782650224387224,5.515980243682861,3.426859140396118
14时13分08秒.558,2,2,3,2,2,1,3,2,3,2,10,11,22,95,126,50,4,3,10,12,21,513,250,64,3,4,4,4,2,2,3,2,4,2,10,15,23,21,21,18,3,2,7,6,7,9,9,7,4,4,6,5,5,6,5,5,1,3,4,2,2,2,3,1,3,1,5,6,6,8,7,8,3,3,2,4,4,3,4,2,4,3,3,3,5,3,4,3,3,2,8,6,6,9,9,8,1607.0,1.0,513.0,16.74,96.0,3.530736660170679,5.515980243682861,3.426859140396118
14时13分08秒.608,4,1,1,3,2,2,3,2,5,3,9,11,22,93,126,49,3,3,10,12,21,513,250,64,3,3,5,3,4,4,3,4,5,3,13,17,24,21,22,17,4,2,5,7,8,8,7,9,3,4,4,3,3,5,5,4,2,2,1,2,3,1,1,3,3,1,6,5,8,10,8,8,2,4,3,3,4,3,2,2,3,2,3,2,2,3,2,2,5,2,8,5,7,8,6,9,1600.0,1.0,513.0,16.67,96.0,3.54555355339614,5.515980243682861,3.426859140396118
14时13分08秒.658,3,2,3,1,4,3,2,2,3,1,10,13,21,94,126,51,4,4,11,11,21,513,249,63,4,3,4,2,2,2,2,2,2,1,11,15,23,21,22,17,2,2,7,7,8,10,9,10,4,4,5,5,4,7,6,5,3,3,3,1,3,2,2,2,4,4,6,6,5,8,8,8,4,2,3,3,4,3,4,2,2,4,4,4,4,3,4,4,4,4,8,7,8,9,9,9,1623.0,1.0,513.0,16.91,96.0,3.490648923900065,5.515980243682861,3.426859140396118
14时13分08秒.707,3,2,2,4,4,4,2,3,4,4,12,11,21,94,126,50,4,4,10,11,21,515,250,64,4,4,4,3,3,3,3,4,5,2,11,18,23,24,22,17,4,4,5,5,6,7,9,8,4,2,2,5,3,6,5,3,3,3,2,3,4,4,2,4,3,2,6,8,8,9,10,9,4,4,5,3,5,4,3,4,2,3,2,4,4,4,5,3,4,2,5,5,7,8,8,9,1640.0,2.0,515.0,17.08,96.0,3.465643391435026,5.4817070960998535,3.4103658199310303
14时13分08秒.757,4,2,2,3,2,1,2,2,3,2,11,13,21,94,127,50,4,2,10,11,22,515,250,64,4,1,3,3,4,3,2,1,4,4,13,17,23,21,21,17,3,1,7,5,8,9,9,9,5,3,5,5,7,6,5,5,2,2,4,3,4,3,3,2,4,2,5,6,6,8,7,8,2,2,2,3,2,3,3,3,2,4,3,4,3,4,4,4,5,3,5,6,9,9,9,9,1622.0,1.0,515.0,16.9,96.0,3.5077439061184994,5.4817070960998535,3.4103658199310303
14时13分08秒.807,2,2,3,4,2,2,1,4,5,3,11,12,21,93,127,50,4,2,12,11,21,514,250,65,4,2,4,2,4,3,4,5,4,4,10,15,23,22,21,20,2,3,8,7,8,8,10,7,4,2,5,4,4,4,4,4,2,3,4,3,4,2,2,2,3,2,5,5,8,9,9,9,3,2,4,3,4,5,5,3,1,4,4,3,3,4,4,2,5,3,6,6,5,8,8,10,1629.0,1.0,514.0,16.97,96.0,3.4860454808096115,5.4817070960998535,3.4103658199310303
14时13分08秒.857,2,2,4,2,4,2,2,2,2,4,10,12,21,94,127,51,3,4,10,11,21,514,250,65,3,2,4,4,2,2,2,2,4,2,12,15,21,22,21,18,4,2,7,5,8,9,10,8,4,2,5,4,5,7,5,5,4,2,3,2,2,3,2,2,3,2,5,7,7,8,7,6,2,4,3,3,2,4,3,4,4,4,4,3,3,4,4,4,3,3,8,7,8,10,10,9,1623.0,2.0,514.0,16.91,96.0,3.500574322731754,5.4817070960998535,3.4103658199310303
14时13分08秒.909,4,2,4,2,2,3,4,2,4,3,11,12,21,94,127,50,3,4,11,11,21,514,250,65,4,4,3,4,4,4,3,4,5,2,11,15,22,23,22,18,4,3,6,5,7,9,8,7,4,2,5,3,5,4,5,3,2,1,4,2,5,2,4,2,3,2,8,6,8,10,9,10,5,2,4,3,5,4,3,3,4,2,4,3,2,3,2,3,3,3,6,5,6,8,7,9,1629.0,1.0,514.0,16.97,96.0,3.486709582559128,5.481583595275879,3.374769687652588
14时13分08秒.957,2,4,2,1,2,2,2,4,3,4,11,12,21,94,127,51,3,2,11,11,22,514,251,64,5,3,3,4,4,4,2,3,4,2,11,15,22,23,22,17,4,3,7,6,8,8,10,9,3,4,6,5,5,5,7,5,2,2,2,2,4,3,2,3,5,3,6,6,7,8,8,8,3,2,4,4,3,4,3,5,5,2,3,4,3,4,4,5,3,3,6,5,7,8,10,9,1639.0,1.0,514.0,17.07,96.0,3.4666403678502395,5.481583595275879,3.374769687652588
14时13分09秒.008,2,4,4,2,2,5,2,2,3,2,10,12,21,93,126,50,2,4,11,11,23,514,252,65,4,2,3,3,4,4,4,4,5,2,11,15,22,21,21,19,3,2,6,8,8,8,9,8,4,2,3,6,4,5,5,3,3,2,2,3,3,4,2,3,4,4,6,6,8,10,9,8,3,4,5,5,4,4,4,4,2,2,5,2,4,2,3,2,4,3,5,5,7,9,9,9,1633.0,2.0,514.0,17.01,96.0,3.4806111769014603,5.481583595275879,3.374769687652588
14时13分09秒.056,4,2,2,3,2,4,2,2,4,2,10,12,21,94,128,50,4,2,10,11,22,515,252,64,4,1,2,5,2,1,2,4,3,2,11,15,22,21,21,19,2,2,5,7,7,10,10,9,3,2,5,6,5,7,4,6,3,2,4,3,3,4,4,2,3,2,5,5,6,8,8,8,3,3,2,2,3,3,1,5,2,2,5,3,4,5,4,5,3,2,4,6,8,9,9,10,1620.0,1.0,515.0,16.88,96.0,3.518461338066886,5.481583595275879,3.374769687652588
14时13分09秒.106,2,3,2,3,4,2,1,4,4,3,11,11,21,95,128,50,3,2,11,11,22,515,252,65,3,4,4,3,2,3,3,3,4,3,11,15,23,24,21,19,4,2,4,7,8,10,8,8,3,2,4,5,4,5,4,4,2,4,2,3,2,4,4,3,3,2,7,6,8,9,9,9,4,3,4,3,2,3,3,2,2,4,3,4,3,3,2,4,3,3,5,5,7,8,7,10,1626.0,1.0,515.0,16.94,96.0,3.5067266700028172,5.481583595275879,3.374769687652588
14时13分09秒.157,4,4,2,2,2,2,4,3,4,1,10,10,21,95,127,49,3,3,10,11,22,515,251,65,3,3,3,2,2,2,2,2,3,1,10,18,23,22,21,18,4,3,8,8,7,8,10,9,3,3,7,5,5,5,5,4,3,2,3,4,4,3,3,2,3,2,6,5,6,8,8,8,2,2,3,2,4,3,4,4,2,4,4,2,3,4,4,4,5,4,7,8,7,9,10,8,1628.0,1.0,515.0,16.96,96.0,3.497628219192699,5.499385833740234,3.4269042015075684
14时13分09秒.208,3,4,2,2,2,2,2,2,4,1,10,12,21,95,126,49,4,4,11,11,23,515,250,65,3,1,3,3,4,3,3,4,5,1,10,17,22,23,21,18,2,2,5,7,8,7,8,9,4,3,4,3,4,4,5,6,2,4,2,4,2,4,3,4,3,3,6,6,7,8,9,8,3,4,3,4,5,5,5,4,5,3,4,2,2,2,1,4,4,3,5,6,5,8,9,9,1622.0,1.0,515.0,16.9,96.0,3.507463024831136,5.499385833740234,3.4269042015075684
14时13分09秒.257,2,2,2,4,2,2,3,4,5,2,9,11,24,96,127,49,3,5,10,11,22,514,252,64,4,1,4,4,2,3,4,2,4,5,10,16,22,21,22,18,3,3,5,8,8,10,9,9,4,2,5,5,5,5,5,5,4,3,3,4,4,4,2,1,5,3,6,5,7,8,9,7,2,4,3,3,4,3,4,4,2,2,3,2,3,6,5,4,5,5,6,6,8,8,9,9,1643.0,1.0,514.0,17.11,96.0,3.461290718039463,5.499385833740234,3.4269042015075684
14时13分09秒.309,1,2,2,3,4,3,4,2,3,2,10,11,22,93,127,50,2,1,10,11,21,514,252,64,3,2,4,4,3,5,4,4,4,2,13,16,21,21,22,18,3,2,6,7,7,8,8,6,4,2,3,4,5,5,4,4,3,2,3,3,3,2,3,4,5,4,5,5,9,9,8,10,3,3,5,4,3,4,3,3,2,2,5,5,4,2,5,4,2,2,5,5,8,8,8,9,1620.0,1.0,514.0,16.88,96.0,3.51055108311769,5.499385833740234,3.4269042015075684
14时13分09秒.358,2,3,2,2,2,2,2,2,3,2,10,11,21,95,128,50,4,3,10,11,21,514,251,65,4,2,5,4,3,3,2,4,4,2,9,16,22,22,21,17,3,3,7,5,9,8,9,9,4,2,5,4,5,5,5,6,4,2,3,4,2,3,2,2,4,4,5,5,8,8,8,7,2,1,2,4,2,4,2,3,4,4,4,4,5,4,3,4,5,2,7,8,9,10,9,8,1626.0,1.0,514.0,16.94,96.0,3.497872767976918,5.493235111236572,3.437269449234009
14时13分09秒.409,2,3,3,2,2,5,2,2,4,2,9,11,21,95,127,50,3,5,11,11,24,515,250,64,4,2,5,4,4,4,4,2,4,1,13,16,22,22,22,17,4,3,6,8,5,8,8,8,4,2,3,2,4,4,5,5,2,2,2,3,2,3,5,3,3,2,6,5,8,10,9,8,3,2,4,5,5,3,4,4,3,2,3,4,3,2,2,4,4,3,6,5,8,9,7,9,1625.0,1.0,515.0,16.93,96.0,3.5018055326025292,5.493235111236572,3.437269449234009
14时13分09秒.456,3,2,3,3,2,3,2,4,4,2,11,11,22,95,127,50,5,2,11,11,22,515,250,64,5,3,4,4,3,3,4,2,5,4,11,16,22,22,23,17,4,3,6,5,7,9,9,9,2,4,5,4,5,5,5,7,1,2,2,3,2,2,2,2,3,4,6,7,8,8,8,7,2,4,4,4,3,4,2,2,4,3,3,3,4,4,5,4,5,2,6,6,7,10,9,8,1636.0,1.0,515.0,17.04,96.0,3.4767614400144993,5.493235111236572,3.437269449234009
14时13分09秒.508,2,5,3,2,3,2,2,1,2,2,11,13,21,94,126,50,3,2,10,11,22,515,250,64,5,1,5,5,4,4,2,4,5,4,11,16,25,22,22,17,4,2,7,7,7,8,7,7,1,2,4,3,5,5,5,5,3,2,3,1,2,3,3,3,3,2,6,6,8,8,9,9,4,2,4,3,4,3,3,4,2,4,3,3,4,4,2,4,2,3,6,6,7,8,7,7,1617.0,1.0,515.0,16.84,96.0,3.518129626519366,5.493235111236572,3.437269449234009
14时13分09秒.558,2,2,4,2,3,2,4,4,3,2,11,11,21,94,127,51,4,2,12,11,22,515,252,64,4,2,3,3,2,2,2,2,4,4,11,16,23,22,22,17,4,4,5,8,9,10,8,8,3,2,6,5,5,6,5,5,2,2,3,3,2,2,1,2,4,3,5,5,5,8,8,8,2,4,3,2,2,4,4,4,3,4,5,4,5,4,5,5,2,4,5,8,6,10,10,9,1634.0,1.0,515.0,17.02,96.0,3.486013289123813,5.500611782073975,3.424112558364868
14时13分09秒.608,2,2,2,4,3,3,2,1,3,2,11,13,21,95,126,50,3,3,10,13,22,516,252,64,4,4,4,4,5,4,4,5,6,1,11,16,23,22,22,20,3,2,7,5,8,9,8,8,4,2,6,4,5,4,4,5,3,5,4,2,3,3,3,1,5,2,5,7,8,7,10,9,3,2,4,2,3,4,4,3,3,2,4,3,4,4,2,2,3,3,7,6,7,8,9,7,1638.0,1.0,516.0,17.06,96.0,3.4818791096864845,5.500611782073975,3.424112558364868
14时13分09秒.659,2,3,3,3,4,2,3,3,4,3,11,12,21,95,128,50,3,3,12,12,22,516,252,64,4,2,2,3,2,2,4,2,5,2,11,16,22,22,22,17,3,1,8,6,8,8,9,10,5,4,6,6,7,6,6,5,3,3,5,3,3,4,2,2,4,5,6,4,8,9,8,8,3,3,2,3,3,2,2,4,5,4,4,4,4,5,4,4,4,3,8,6,8,9,8,9,1655.0,1.0,516.0,17.24,96.0,3.445878964167156,5.500611782073975,3.424112558364868
14时13分09秒.707,4,2,2,3,2,3,4,2,4,4,9,12,21,95,128,50,4,3,12,12,22,515,252,65,3,1,3,4,4,2,5,5,3,2,11,16,23,22,22,17,3,2,7,5,6,8,9,7,2,3,4,3,3,5,5,6,2,1,4,2,2,3,3,4,3,5,7,6,8,9,8,9,2,2,4,3,4,4,5,4,3,3,3,4,4,4,4,2,2,2,5,5,8,8,8,9,1629.0,1.0,515.0,16.97,96.0,3.499489653156811,5.500611782073975,3.424112558364868
