##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时36分38秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时36分38秒.221,6,970,1255,1171,1318,1271,547,5,4,1050,1237,1028,1303,1340,672,8,6,1205,1523,1379,1575,1368,538,6,5,851,1502,1501,1464,1132,489,5,5,48,49,51,49,49,46,5,5,6,5,5,5,4,5,5,5,13,12,15,12,12,13,5,5,17,18,17,16,16,16,6,5,30,30,32,32,32,29,5,5,43,44,43,43,45,43,5,5,65,67,66,67,67,61,6,5,63,63,62,63,64,58,4,29526.0,4.0,1575.0,307.56,96.0,1.6720278808707705,3.8335366249084473,2.4520761966705322
14时36分38秒.320,6,971,1257,1171,1319,1271,548,6,6,1050,1239,1028,1302,1342,672,6,5,1203,1523,1379,1576,1368,538,6,5,851,1502,1501,1466,1132,489,6,6,48,49,51,49,50,47,5,5,5,6,4,4,5,5,5,5,16,15,15,16,16,16,5,6,24,25,25,25,24,23,5,5,27,30,30,30,29,27,6,4,42,44,44,44,45,43,5,5,65,65,66,67,67,61,5,5,61,62,61,63,62,57,5,29581.0,4.0,1576.0,308.14,96.0,1.6685755526511257,3.8335366249084473,2.4520761966705322
14时36分38秒.419,5,975,1258,1172,1319,1273,548,6,4,1051,1239,1028,1302,1342,675,5,5,1203,1523,1381,1576,1368,540,6,6,851,1502,1502,1466,1132,490,6,5,49,51,51,52,51,49,5,5,5,4,5,4,5,4,5,5,13,13,13,13,13,13,6,5,17,19,18,18,18,19,5,5,26,28,27,26,27,27,5,6,41,42,43,44,42,42,6,5,65,66,65,67,67,61,5,5,63,63,62,63,63,59,5,29538.0,4.0,1576.0,307.69,96.0,1.6729892446325723,3.8346197605133057,2.4467804431915283
14时36分38秒.535,5,978,1258,1176,1321,1276,549,6,5,1056,1239,1029,1303,1343,676,6,5,1207,1523,1384,1578,1368,541,7,5,855,1502,1503,1466,1132,490,6,6,48,49,50,50,49,48,5,5,6,6,5,6,4,6,5,5,12,13,13,13,13,13,4,5,17,17,18,18,18,17,4,6,26,26,26,26,27,27,5,6,41,42,43,43,43,41,5,5,65,66,65,66,66,61,5,5,60,61,63,63,63,59,5,29557.0,4.0,1578.0,307.89,96.0,1.674211288982982,3.8346197605133057,2.4467804431915283
14时36分38秒.619,6,978,1258,1173,1321,1276,551,6,5,1055,1238,1029,1303,1343,677,5,5,1209,1523,1385,1579,1368,543,6,6,855,1501,1505,1467,1129,492,7,6,49,51,56,52,51,49,6,6,5,5,5,6,6,5,5,6,12,12,13,13,12,12,5,5,19,19,18,18,18,19,5,5,29,31,32,32,33,30,5,5,42,42,43,44,44,42,5,5,65,66,65,67,67,61,5,5,63,63,63,64,64,59,5,29624.0,5.0,1579.0,308.58,96.0,1.6694232762960095,3.8346197605133057,2.4467804431915283
14时36分38秒.720,5,980,1260,1176,1321,1277,553,5,5,1058,1238,1031,1304,1344,679,6,5,1209,1524,1386,1581,1367,543,6,6,855,1501,1508,1469,1130,491,5,5,50,53,54,53,51,49,5,5,6,5,5,5,5,5,5,5,11,12,12,13,14,14,5,5,19,19,20,20,18,19,5,5,32,31,31,32,33,33,5,5,42,43,44,44,44,42,5,5,65,66,66,67,67,61,5,5,62,62,63,64,64,59,6,29658.0,5.0,1581.0,308.94,96.0,1.6689651796978946,3.834547281265259,2.454616069793701
14时36分38秒.820,5,980,1259,1176,1322,1277,553,5,6,1056,1238,1031,1304,1345,678,6,5,1210,1523,1384,1581,1367,543,5,5,856,1500,1508,1468,1130,492,6,6,52,53,53,53,51,49,5,6,6,5,5,5,4,5,5,5,16,16,16,16,14,16,5,5,18,18,18,19,17,18,5,5,32,31,31,32,33,33,5,5,44,45,46,44,45,43,5,5,66,67,66,67,68,63,6,5,60,61,61,64,64,58,5,29674.0,4.0,1581.0,309.1,96.0,1.6673755833070965,3.834547281265259,2.454616069793701
14时36分38秒.919,5,977,1260,1176,1322,1278,553,5,5,1056,1237,1031,1304,1345,678,6,5,1210,1520,1384,1582,1368,542,6,7,856,1499,1507,1469,1132,492,6,5,50,52,53,51,51,49,6,6,6,5,5,5,5,6,6,5,16,16,18,18,19,18,5,5,18,18,17,16,17,17,6,5,32,33,33,32,33,34,4,5,44,45,46,45,45,43,5,6,66,67,66,68,68,63,5,5,60,61,61,64,64,58,5,29684.0,4.0,1582.0,309.21,96.0,1.6664202342926744,3.834547281265259,2.454616069793701
14时36分39秒.018,6,975,1260,1176,1322,1279,553,8,6,1056,1236,1031,1304,1345,680,6,5,1206,1521,1387,1581,1367,542,6,5,855,1500,1507,1469,1132,493,6,5,49,51,52,51,51,47,5,6,5,5,5,5,5,5,5,5,19,21,18,18,19,18,5,5,16,16,17,16,16,15,6,5,37,38,38,37,37,35,5,5,44,45,45,45,45,43,5,6,66,66,67,67,68,62,6,5,60,61,61,64,61,58,6,29700.0,5.0,1581.0,309.38,96.0,1.6651195594604897,3.8356902599334717,2.4628283977508545
14时36分39秒.119,5,975,1260,1175,1321,1280,554,5,5,1057,1239,1031,1306,1347,680,6,5,1205,1522,1387,1581,1369,544,5,6,855,1500,1507,1470,1133,494,6,5,49,51,51,49,50,47,7,6,5,6,4,5,5,6,5,5,16,17,17,17,17,18,4,6,16,16,15,15,14,15,8,5,38,39,39,38,39,36,5,5,42,45,44,44,45,43,5,5,66,67,66,68,68,61,5,5,60,61,61,64,62,57,6,29696.0,4.0,1581.0,309.33,96.0,1.6664867205703284,3.8356902599334717,2.4628283977508545
14时36分39秒.219,5,978,1262,1177,1321,1281,554,5,4,1061,1242,1033,1306,1348,680,5,5,1209,1524,1387,1582,1370,544,5,5,856,1502,1510,1472,1134,494,5,6,50,52,52,51,52,48,5,5,7,7,5,5,6,6,5,6,16,16,14,17,14,16,5,4,16,16,15,15,14,13,5,6,39,39,39,38,39,36,4,6,42,45,44,44,45,43,6,5,65,67,66,67,68,63,6,4,60,61,61,62,62,57,6,29725.0,4.0,1582.0,309.64,96.0,1.6671358979262987,3.834465980529785,2.4591925144195557
14时36分39秒.318,5,977,1262,1177,1324,1284,556,5,5,1060,1241,1033,1308,1349,681,5,4,1209,1526,1387,1582,1372,545,6,6,856,1502,1511,1473,1134,496,6,6,51,52,54,52,52,48,5,5,6,7,5,5,5,6,4,5,16,18,18,17,19,19,5,4,16,16,15,15,16,16,5,5,35,34,34,35,34,33,5,5,44,46,45,46,45,44,4,5,65,67,67,67,68,63,8,5,60,61,61,61,62,57,7,29748.0,4.0,1582.0,309.88,96.0,1.6667191383429283,3.834465980529785,2.4591925144195557
14时36分39秒.418,6,977,1262,1178,1323,1282,557,6,5,1063,1242,1034,1308,1349,681,5,6,1209,1526,1387,1582,1372,545,5,6,857,1504,1512,1473,1134,496,8,5,50,53,54,53,52,50,4,5,6,6,5,5,4,5,5,5,16,17,17,17,18,18,6,6,16,16,15,15,16,15,6,5,34,34,34,35,34,33,5,5,44,46,45,45,46,44,6,5,65,68,68,69,68,63,5,5,60,59,61,61,61,57,5,29756.0,4.0,1582.0,309.96,96.0,1.6666825915460377,3.834465980529785,2.4591925144195557
