##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260713_161628_single_device_46359f
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,12
cols,8
data_points,96
data_stage,processed_display
has_raw_adc,false
display_mode,adc
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95
631139.512043,0.000000,0,0,6,5,5,0,0,0,0,0,6,9,10,8,9,6,0,0,6,6,6,0,0,5,0,0,5,8,9,8,9,8,0,0,6,6,6,6,6,5,0,0,7,8,8,8,8,8,5,0,7,8,8,6,9,8,0,6,8,9,9,8,8,7,6,0,7,9,11,8,10,9,5,0,8,9,11,8,10,9,6,0,8,9,11,9,11,9,5,5,9,12,16,13,13,10,5
631139.512088,0.000000,1,5,7,6,0,0,0,0,0,0,5,9,11,8,9,8,5,0,5,6,6,5,6,5,0,5,8,8,10,9,9,8,5,5,6,7,5,0,0,6,0,0,6,6,8,8,8,8,0,0,6,6,8,7,8,8,6,0,7,9,8,8,8,8,5,5,8,9,11,9,9,10,5,0,8,10,11,10,10,11,8,0,7,9,11,10,11,9,5,5,9,12,14,10,11,11,5
631139.551919,0.029000,2,0,5,5,6,0,0,0,0,0,5,9,9,8,9,9,5,0,6,8,7,5,6,5,0,5,8,8,10,9,9,8,0,0,6,7,7,6,7,8,0,5,7,7,8,6,6,5,5,5,6,8,8,8,8,8,5,5,8,9,9,8,8,8,5,0,7,8,9,7,8,9,0,0,8,9,11,9,10,11,5,0,8,9,11,9,9,9,6,0,8,12,16,11,11,11,5
631139.551947,0.030000,3,0,5,5,5,0,0,0,0,0,7,10,11,9,8,8,6,0,6,5,0,5,5,5,0,0,7,8,9,8,8,8,5,0,6,6,6,5,5,6,0,0,6,6,8,6,6,5,0,0,6,7,7,7,6,6,5,5,8,6,8,8,6,6,0,5,6,7,9,8,8,8,5,0,8,8,11,9,10,11,6,0,8,9,11,10,10,9,6,5,8,10,15,14,11,11,5
631139.568586,0.046000,4,0,5,0,5,5,0,0,0,0,8,10,11,10,9,8,5,0,6,5,5,0,0,0,0,5,6,8,9,8,9,9,0,0,6,5,8,6,6,5,0,5,7,6,7,8,8,7,0,0,6,6,8,6,6,0,0,5,6,7,6,8,8,7,0,5,7,8,9,9,8,7,0,0,7,8,11,10,11,9,5,0,7,9,11,10,10,7,5,0,8,9,14,11,11,10,5
631139.589464,0.067000,5,0,5,6,5,0,0,0,0,5,7,8,9,9,9,7,5,0,5,6,6,5,5,5,0,5,6,7,9,9,10,8,0,0,6,5,6,6,6,6,5,5,7,8,8,5,8,6,0,0,7,6,7,7,8,6,0,5,6,8,8,8,9,8,5,0,7,6,8,9,8,8,5,0,5,9,11,10,11,10,6,0,8,8,11,9,10,9,6,5,7,11,12,11,13,11,6
631139.625276,0.103000,6,0,5,5,5,0,0,0,0,0,6,8,9,8,8,8,5,0,6,7,7,5,5,5,0,5,5,7,8,8,8,8,5,5,6,7,7,8,7,7,0,5,6,7,8,6,8,6,5,0,6,7,8,7,6,8,0,5,6,7,8,7,8,5,0,0,7,8,10,8,9,9,5,0,7,9,11,8,11,11,5,0,8,10,9,10,11,8,6,0,8,11,12,10,12,11,6
631139.639599,0.117000,7,0,6,5,5,0,0,0,0,0,5,7,8,7,8,8,5,0,6,7,8,7,6,6,0,5,8,8,9,8,9,9,0,0,7,8,8,9,8,6,5,0,6,8,5,6,6,7,0,5,6,8,8,6,8,6,5,0,8,6,8,8,6,7,0,0,7,8,10,9,9,9,6,0,6,8,10,10,11,10,5,0,7,8,10,9,10,9,5,0,8,11,14,10,11,10,6
631139.657094,0.134000,8,0,7,0,5,0,0,0,0,0,5,7,8,9,8,7,0,0,6,5,6,5,5,5,0,5,7,7,9,8,8,8,0,0,6,8,8,8,6,7,5,0,5,5,0,0,5,6,0,5,5,7,8,6,5,6,5,5,6,7,8,9,8,6,0,5,8,8,10,9,9,8,6,0,8,8,11,9,11,11,5,0,7,8,10,8,10,9,6,0,8,10,14,10,11,11,5
631139.673165,0.150000,9,0,7,6,0,0,5,0,0,0,8,7,9,8,8,6,5,0,6,6,5,0,5,0,0,5,6,7,8,6,8,8,6,0,7,7,8,6,7,8,0,0,5,5,6,0,0,0,0,0,6,6,6,6,6,6,5,5,5,7,6,7,6,5,0,0,7,8,11,7,8,8,5,0,6,9,11,9,11,10,7,0,7,8,11,9,10,9,5,0,8,12,17,9,13,10,5
