##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260713_160223_single_device_2f5f7f
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,12
cols,8
data_points,96
data_stage,processed_display
has_raw_adc,false
display_mode,adc
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95
630294.226379,0.000000,0,0,8,7,6,7,6,6,0,5,10,11,11,11,9,13,5,0,8,7,8,5,6,7,0,6,10,10,12,14,13,15,5,0,9,8,10,9,8,8,5,0,6,6,5,0,0,0,0,5,9,10,10,10,9,11,6,5,11,11,11,12,12,17,6,0,13,12,16,17,14,16,7,0,12,11,12,16,13,15,8,5,12,13,13,15,12,14,6,0,15,16,16,18,14,18,6
630294.240128,0.002000,1,0,8,8,8,7,6,7,0,0,11,9,11,11,10,11,6,0,7,8,5,6,6,5,0,6,10,11,11,14,13,14,5,0,10,9,9,9,9,8,6,0,6,5,5,0,0,5,0,6,8,9,10,11,10,11,5,0,10,10,11,12,12,17,7,5,13,12,16,17,14,16,7,0,12,11,12,16,13,14,6,0,12,12,13,15,12,16,6,5,15,14,16,18,16,20,7
630294.243193,0.005000,2,5,8,8,8,7,6,5,0,5,9,9,10,13,10,10,7,0,8,6,6,5,0,5,5,6,10,11,11,14,13,13,6,0,9,8,9,9,9,9,5,5,7,5,5,0,5,0,0,5,9,9,9,10,10,11,7,5,11,10,11,12,11,16,8,0,13,11,15,17,14,15,6,0,12,11,12,13,13,16,8,0,12,11,13,15,12,15,6,0,15,13,16,20,16,18,6
630294.274123,0.036000,3,0,9,7,8,6,6,7,5,0,10,10,11,12,11,11,6,0,8,6,5,6,5,7,0,5,10,10,13,16,12,15,6,5,9,8,8,8,8,9,5,5,6,6,0,5,0,0,0,5,8,10,9,11,9,11,7,5,11,10,11,12,11,16,6,0,12,11,15,17,13,17,5,0,12,11,12,13,11,14,7,0,12,11,13,15,12,14,6,0,15,13,16,20,16,18,5
630294.306878,0.069000,4,0,9,8,8,6,6,7,0,0,9,10,11,10,10,10,7,0,6,7,7,5,6,5,0,5,10,10,11,15,11,13,5,0,9,9,9,9,8,8,5,0,8,5,0,0,0,0,0,5,9,7,9,10,8,11,6,5,11,10,11,14,11,16,6,0,12,11,15,19,15,17,8,5,12,11,12,13,11,14,5,5,14,11,13,15,12,14,6,0,15,13,16,20,15,18,5
630294.323515,0.085000,5,0,8,7,8,8,6,6,5,5,10,10,11,11,9,11,7,0,8,7,6,5,5,5,0,6,9,11,11,14,11,13,5,0,9,8,8,8,8,8,5,0,8,6,0,5,5,0,0,5,9,9,10,9,10,11,5,5,11,10,11,13,11,16,7,0,12,11,15,17,14,16,6,0,12,11,14,13,11,16,7,5,12,11,13,15,12,14,8,5,15,13,16,19,15,18,5
630294.340658,0.103000,6,0,9,8,6,6,5,6,5,5,9,10,11,13,11,11,5,0,9,8,5,5,5,5,0,5,10,10,13,14,11,13,5,5,9,9,8,10,8,8,6,5,7,5,5,0,5,0,0,5,9,8,9,10,9,11,6,5,10,10,11,13,11,16,6,0,12,11,15,17,14,16,6,0,12,11,13,15,11,16,8,0,14,11,13,15,12,14,7,5,15,13,16,21,15,18,5
630294.357435,0.119000,7,0,10,6,7,5,7,6,0,5,9,10,11,11,10,10,5,5,8,6,5,5,6,6,5,5,10,10,12,14,13,13,6,5,9,9,9,9,8,9,5,0,6,6,5,0,0,0,5,5,8,8,9,10,9,11,6,0,10,11,10,13,11,16,7,0,14,11,15,17,13,16,6,0,12,11,13,14,11,15,8,5,13,11,13,15,12,14,6,5,15,13,16,19,15,18,6
630294.374291,0.136000,8,0,8,8,8,6,6,5,5,0,10,10,10,10,10,10,6,0,8,6,6,6,6,5,5,5,10,11,12,14,13,13,5,6,9,8,9,10,9,8,7,5,7,6,0,5,0,5,0,5,9,9,9,10,9,11,5,5,10,10,11,12,11,16,6,0,13,13,15,17,13,18,5,0,12,11,13,14,13,14,7,0,13,11,13,15,12,16,7,5,15,13,16,19,15,18,5
630294.408966,0.171000,9,0,9,7,6,7,6,6,0,0,10,9,11,11,11,11,6,5,8,7,6,5,0,6,5,6,11,11,11,14,12,13,6,0,8,8,9,9,8,9,5,5,6,6,5,0,0,0,0,5,8,9,10,10,10,11,6,5,11,10,11,14,11,16,7,0,13,12,15,17,13,17,6,0,12,10,12,14,12,14,8,5,13,11,13,15,12,13,7,0,15,13,16,19,17,18,6
