##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时32分07秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时32分07秒.971,6,13,28,18,32,36,40,5,5,8,7,6,6,7,7,6,5,6,8,6,6,5,5,5,5,11,13,13,18,18,22,5,5,9,14,13,14,15,14,6,5,9,10,10,11,11,12,5,5,10,14,12,16,17,19,5,5,10,13,12,17,15,13,4,6,11,20,17,41,32,23,5,5,11,19,16,28,33,23,4,6,12,24,20,39,50,32,5,5,13,25,18,33,40,27,6,1380.0,4.0,50.0,14.38,96.0,0.7156720725569311,4.328985691070557,6.734057903289795
14时32分08秒.069,5,13,28,18,31,36,40,6,4,5,8,8,7,5,8,5,5,7,5,5,5,4,4,5,5,10,13,13,17,17,21,6,6,10,13,12,13,15,14,5,6,8,10,9,11,11,11,5,5,10,14,12,16,17,18,5,5,10,13,12,17,15,13,6,6,11,20,17,41,30,24,6,6,11,19,16,28,33,23,5,5,12,24,19,37,50,32,6,5,13,25,20,32,40,28,6,1366.0,4.0,50.0,14.23,96.0,0.717308085316193,4.328985691070557,6.734057903289795
14时32分08秒.170,6,13,29,18,31,36,40,4,5,5,6,7,8,8,8,6,5,8,6,6,6,5,5,6,5,10,16,11,17,17,21,6,5,10,13,11,16,15,16,5,5,9,10,9,10,10,11,5,5,10,13,12,16,17,20,5,4,9,13,12,16,15,13,6,5,11,20,17,41,30,22,5,5,11,19,16,28,33,23,6,5,12,24,18,37,51,32,5,5,12,25,18,32,40,27,5,1366.0,4.0,51.0,14.23,96.0,0.7184547517632979,4.355051040649414,6.715227127075195
14时32分08秒.268,5,13,29,18,31,36,39,5,4,5,6,5,6,6,6,5,5,6,6,4,6,5,4,5,5,10,16,13,16,20,21,5,5,10,13,11,14,15,15,6,5,9,10,10,10,12,11,6,5,9,13,12,16,17,20,5,5,10,13,12,16,15,15,5,5,11,20,17,41,30,23,5,5,11,19,16,28,33,23,5,5,11,24,18,37,51,32,5,6,12,25,18,33,39,27,4,1355.0,4.0,51.0,14.11,96.0,0.7313556323620757,4.355051040649414,6.715227127075195
14时32分08秒.368,5,15,29,18,31,36,40,5,4,6,7,5,8,6,6,4,5,5,5,6,6,5,5,4,5,10,14,12,16,18,21,5,5,8,13,13,14,15,14,5,4,8,10,9,11,10,10,5,5,10,16,12,16,17,19,5,5,9,13,11,16,15,13,6,5,11,20,16,40,29,23,5,5,11,19,16,28,33,24,5,5,13,23,18,37,51,32,5,5,12,25,18,32,40,28,5,1348.0,4.0,51.0,14.04,96.0,0.7353724022422135,4.355051040649414,6.715227127075195
14时32分08秒.470,5,14,29,18,31,36,40,5,6,6,5,6,7,5,6,7,5,5,5,5,5,5,5,5,5,10,14,12,16,18,20,5,6,10,13,12,14,15,14,5,5,9,10,8,10,11,11,6,5,10,13,12,16,17,19,5,5,9,16,13,16,15,13,5,4,11,20,16,41,29,23,5,5,11,19,16,29,33,24,5,4,12,24,18,37,49,32,4,5,14,25,18,32,40,28,5,1352.0,4.0,49.0,14.08,96.0,0.7297323933597578,4.3417158126831055,6.762574195861816
14时32分08秒.569,5,14,29,17,30,37,40,6,4,5,6,6,6,6,6,6,6,6,6,4,6,6,6,5,5,9,14,12,16,18,20,5,5,10,13,12,14,15,14,5,5,9,10,8,10,11,11,5,5,9,13,12,16,17,19,6,6,10,13,11,16,15,13,6,5,11,19,16,41,29,22,5,4,11,19,15,29,33,24,5,6,12,23,18,37,50,32,6,5,13,23,18,32,41,28,5,1348.0,4.0,50.0,14.04,96.0,0.7288053718446877,4.3417158126831055,6.762574195861816
14时32分08秒.668,6,14,29,17,30,37,39,5,5,6,6,7,6,8,7,5,6,6,4,5,6,5,5,5,5,9,14,11,16,18,20,5,5,9,13,11,14,15,14,5,5,7,10,8,10,9,11,6,5,11,13,12,16,17,19,5,5,10,13,13,16,15,13,5,5,13,19,16,41,29,22,5,6,11,19,15,29,33,24,5,5,12,23,18,38,50,32,5,6,13,24,18,32,41,27,5,1348.0,4.0,50.0,14.04,96.0,0.7289503380226228,4.3417158126831055,6.762574195861816
14时32分08秒.771,6,14,29,17,30,36,39,5,6,6,5,5,5,6,6,5,5,7,4,5,5,5,5,6,5,10,14,11,16,18,20,6,5,10,13,11,16,15,14,5,6,9,9,10,10,11,11,5,5,10,15,12,16,17,19,6,5,10,15,13,16,15,13,5,5,12,19,16,41,29,22,5,4,11,19,15,29,33,24,5,5,12,23,18,37,50,32,5,4,13,24,20,32,41,27,5,1351.0,4.0,50.0,14.07,96.0,0.7274999861593174,4.338637828826904,6.777572154998779
14时32分08秒.871,5,14,29,17,31,36,39,7,6,5,5,5,5,6,7,5,5,5,5,5,6,6,5,6,5,10,14,13,16,18,20,5,5,10,13,11,16,15,14,5,5,10,10,9,10,11,11,5,6,10,15,12,16,17,19,6,5,9,13,12,16,15,13,4,5,11,19,16,41,30,22,6,6,11,19,17,28,33,24,5,5,12,23,20,38,51,32,5,5,13,25,18,32,41,28,6,1361.0,4.0,51.0,14.18,96.0,0.7265014150413635,4.338637828826904,6.777572154998779
