##设备信息
设备名称,SyntheticMultiLayout 64x64
行数,64
列数,64
数据点数,48
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月11日_16时00分00秒
噪声描述,mode=membrane_like noise_std=3.0
##数据开始
