case,load_type,model,leakage,method,rmse,total_ratio,peak_ratio,area_ratio,iou,centroid_shift_cells,noncontact_residual_ratio
local_center,local,matched,0.08,raw,2.3172923348025094,0.9996883907829213,1.0030500839126457,1.1696428571428572,0.8549618320610687,0.0007004788342631533,0.0052080579456924014
local_center,local,matched,0.08,hard_gate,1.8931456072743722,0.994480332837229,1.0030500839126457,1.0,1.0,0.000681243860151655,0.0
local_center,local,matched,0.08,spatial_median,5.682541290687394,0.9928738230624314,1.0006691009922657,1.1339285714285714,0.8818897637795275,0.0009015254780681379,0.004897691404477751
local_center,local,matched,0.08,local_correction,0.28442195932726966,1.0000955027624112,1.0033178492427044,1.0,1.0,0.0003925932381933742,0.0002782178779255178
local_center,local,matched,0.08,richardson_lucy,0.31642300423374403,0.9996883907829214,1.0033179341049303,1.0,1.0,0.0006244422541656594,0.00035631453251275805
local_center,local,mismatch,0.08,raw,2.283048950265953,1.0000011580236268,1.0034200508211555,1.1696428571428572,0.8549618320610687,0.009920043691761294,0.004910829652106083
local_center,local,mismatch,0.08,hard_gate,1.8466220841613774,0.9950903283715208,1.0034200508211555,1.0,1.0,0.006793673972482293,0.0
local_center,local,mismatch,0.08,spatial_median,5.65412726194956,0.9931330277422292,1.001121056797919,1.1517857142857142,0.8682170542635659,0.010126205949343683,0.004689606809198536
local_center,local,mismatch,0.08,local_correction,0.7794762354561224,1.0002019630730734,1.003602233020161,1.0178571428571428,0.9824561403508771,0.009704383513683195,0.0011301554760958159
local_center,local,mismatch,0.08,richardson_lucy,0.7739709483625087,1.0000011580236268,1.0036022328312713,1.0178571428571428,0.9824561403508771,0.009874810136279851,0.0011124788028288926
local_center,local,matched,0.16,raw,4.65185449993241,0.9999003846977704,1.0031442680987512,1.3214285714285714,0.7567567567567568,0.0004497201190833849,0.010757635289431003
local_center,local,matched,0.16,hard_gate,3.7455450241628836,0.9891427494083394,1.0031442680987512,1.0,1.0,0.0006462186860656059,0.0
local_center,local,matched,0.16,spatial_median,7.341895902033012,0.9930666762257757,1.0010831832898812,1.3214285714285714,0.7567567567567568,0.000299761767349949,0.010190983293301667
local_center,local,matched,0.16,local_correction,0.3313808692834469,1.0002292004939801,1.0036351126869618,1.0,1.0,0.0005530288990604127,0.00041997148698402016
local_center,local,matched,0.16,richardson_lucy,0.3722664691654786,0.9999003846977704,1.0036265428460585,1.0,1.0,0.00043378672251586265,0.0005886805566185442
local_center,local,mismatch,0.16,raw,4.646581750850643,1.000318590653465,1.003743749239712,1.3214285714285714,0.7567567567567568,0.017045953735317167,0.010415528023232425
local_center,local,mismatch,0.16,hard_gate,3.7494839269272617,0.9899030626302326,1.003743749239712,1.0,1.0,0.012816533010516194,0.0
local_center,local,mismatch,0.16,spatial_median,7.309577234410825,0.9934271023730696,1.0013981959964415,1.3214285714285714,0.7567567567567568,0.017019591571397184,0.00994531750782543
local_center,local,mismatch,0.16,local_correction,1.6282677482869197,1.0004783998200757,1.0042141121931063,1.0803571428571428,0.9256198347107438,0.01744465486792098,0.002677783653795183
local_center,local,mismatch,0.16,richardson_lucy,1.5902791043040694,1.000318590653465,1.0042143172965685,1.0625,0.9411764705882353,0.01708930341709681,0.0024715695231502265
local_center,local,matched,0.28,raw,8.106467414376203,0.9998838534320063,1.0029020302276337,1.3214285714285714,0.7567567567567568,0.00019020756430261352,0.01857624005013034
local_center,local,matched,0.28,hard_gate,7.517821903928056,0.9884185956832932,1.0029020302276337,1.0714285714285714,0.9333333333333333,0.0005612585834270815,0.007110982301417029
local_center,local,matched,0.28,spatial_median,10.260947245131932,0.993123293369758,1.0006740808106753,1.3214285714285714,0.7567567567567568,0.00027034898309523717,0.017853850438284642
local_center,local,matched,0.28,local_correction,0.35603806432356816,1.0003357802373798,1.0043302070284374,1.0,1.0,0.0004776208537813214,0.0003636025101478716
local_center,local,matched,0.28,richardson_lucy,0.5436363689292137,0.9998838534320066,1.0042642301784634,1.0,1.0,0.0002014665440249646,0.0007850756199973706
local_center,local,mismatch,0.28,raw,8.031182248964637,1.0003243876722139,1.0033551174154816,1.3214285714285714,0.7567567567567568,0.02993472215597074,0.017873685379005553
local_center,local,mismatch,0.28,hard_gate,7.089792887740953,0.9863513421825011,1.0033551174154816,1.0357142857142858,0.9655172413793104,0.032349210389321946,0.003900639889292716
local_center,local,mismatch,0.28,spatial_median,10.063121102234623,0.9936481269523182,1.001369674927601,1.3214285714285714,0.7567567567567568,0.030364640997202014,0.01716532844558038
local_center,local,mismatch,0.28,local_correction,2.9429706710041046,1.0008840550938944,1.0070920664315832,1.1517857142857142,0.8682170542635659,0.030846770045745715,0.004799732901397462
local_center,local,mismatch,0.28,richardson_lucy,2.8007784348276124,1.0003243876722139,1.0072569239594684,1.1339285714285714,0.8818897637795275,0.02996533019359602,0.003935291918456267
local_edge,local,matched,0.08,raw,2.128676511772553,1.0001726202513799,1.0035479843765323,1.2127659574468086,0.8245614035087719,0.0012548953690066844,0.00595308306030878
local_edge,local,matched,0.08,hard_gate,1.729754040553128,0.9942195371910709,1.0035479843765323,1.0,1.0,0.0005884094793891227,0.0
local_edge,local,matched,0.08,spatial_median,5.208507061861714,0.9873038807487576,1.000841411747785,1.2127659574468086,0.8245614035087719,0.0019904689754584467,0.005929914657775197
local_edge,local,matched,0.08,local_correction,0.25946093155089744,1.0004884225547208,1.0046616658197989,1.0,1.0,0.0010645877547342162,0.00039837733544772927
local_edge,local,matched,0.08,richardson_lucy,0.26678357504954464,1.0001746091586312,1.0046709797039475,1.0,1.0,0.0012352337734326546,0.0004613589847811743
local_edge,local,mismatch,0.08,raw,2.1451774893957323,0.9998760798060494,1.0027752333565239,1.1595744680851063,0.8623853211009175,0.008397262398823373,0.0055559470414766705
local_edge,local,mismatch,0.08,hard_gate,1.7380535773654822,0.9943201327645728,1.0027752333565239,1.0,1.0,0.005909262314534732,0.0
local_edge,local,mismatch,0.08,spatial_median,5.216764093705334,0.9869086854716429,1.0005855373582389,1.148936170212766,0.8703703703703703,0.008950275921258822,0.005398916942356859
local_edge,local,mismatch,0.08,local_correction,0.727408120329956,1.000162223318488,1.0030215575375594,1.0425531914893618,0.9591836734693877,0.008738950869939593,0.0014676574546470976
local_edge,local,mismatch,0.08,richardson_lucy,0.7020833914139686,0.999876686091953,1.0030214529961816,1.0319148936170213,0.9690721649484536,0.008453656129610678,0.0014078839850751395
local_edge,local,matched,0.16,raw,4.220060744408729,1.000294066169294,1.0030980869548918,1.3404255319148937,0.746031746031746,0.0005967299664655302,0.011832707768794812
local_edge,local,matched,0.16,hard_gate,3.4469498338157925,0.9884613584004994,1.0030980869548918,1.0,1.0,0.0003565667860014949,0.0
local_edge,local,matched,0.16,spatial_median,6.522483956399312,0.9878322004338516,1.0011133621889652,1.3617021276595744,0.734375,0.0037903642238353466,0.011757809691548354
local_edge,local,matched,0.16,local_correction,0.2874936327823957,1.000613165646584,1.003846106634021,1.0,1.0,0.0005434661029263532,0.0004124989599179228
local_edge,local,matched,0.16,richardson_lucy,0.3353832526280299,1.0003011045660941,1.0039038207270203,1.0,1.0,0.000573701541148188,0.0006481564204548541
local_edge,local,mismatch,0.16,raw,4.299687201634574,0.9997442489252735,1.002917759150971,1.3085106382978724,0.7642276422764228,0.0168113174476746,0.011323473856127279
local_edge,local,mismatch,0.16,hard_gate,3.510229644329285,0.9884207750691459,1.002917759150971,1.0,1.0,0.011744769910963203,0.0
