##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时09分43秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时09分43秒.429,3,3,2,2,4,2,4,2,3,4,5,4,4,5,4,5,4,3,4,5,5,7,6,6,2,3,3,4,3,4,2,4,2,2,4,3,3,4,5,3,2,2,5,8,8,8,7,8,4,2,4,5,6,6,5,4,3,2,8,51,170,37,36,33,4,4,5,10,9,13,11,12,5,1,5,22,32,36,34,32,4,4,6,26,38,96,100,82,3,2,6,25,34,78,163,147,1620.0,1.0,170.0,16.88,96.0,1.9033289730622545,5.446296215057373,9.002469062805176
14时09分43秒.476,1,3,4,2,2,3,2,3,3,1,4,3,4,3,4,5,3,3,3,5,6,5,5,6,2,3,1,2,3,3,4,2,3,3,4,5,4,5,5,5,3,3,5,6,7,8,8,8,3,4,6,5,5,4,4,4,3,2,5,49,170,35,36,33,3,3,5,10,11,12,14,12,4,2,8,22,32,37,34,33,3,3,6,26,40,96,98,82,2,2,7,25,34,78,162,147,1606.0,1.0,170.0,16.73,96.0,1.916685071646502,5.446296215057373,9.002469062805176
14时09分43秒.525,2,2,3,2,1,2,1,3,4,3,5,3,6,4,5,5,3,2,4,8,5,6,8,6,2,1,3,5,3,3,2,2,3,4,4,4,3,4,2,5,4,4,4,6,6,8,10,7,4,2,5,4,6,5,5,5,3,3,7,50,171,37,36,33,4,3,5,9,9,11,12,12,3,3,7,22,29,37,34,32,2,3,5,26,38,98,98,83,2,2,7,25,34,78,163,147,1611.0,1.0,171.0,16.78,96.0,1.9191914504609509,5.446296215057373,9.002469062805176
14时09分43秒.570,2,2,3,3,3,2,4,2,4,5,4,4,3,4,5,4,2,4,5,5,5,5,5,5,1,3,3,2,2,3,4,2,2,4,5,5,4,5,5,4,4,1,6,7,8,6,7,8,4,2,3,4,4,4,3,4,3,3,8,50,171,37,36,33,3,4,6,10,11,13,12,12,4,2,7,22,29,37,35,33,4,2,8,26,39,97,97,83,3,1,6,24,34,78,162,147,1611.0,1.0,171.0,16.78,96.0,1.9141544423910493,5.446296215057373,9.002469062805176
14时09分43秒.627,2,2,2,4,2,3,4,1,5,2,3,4,5,5,5,5,3,2,4,8,5,6,5,7,3,2,4,2,2,4,3,2,3,2,4,4,2,4,5,4,4,2,4,8,5,8,9,6,4,2,5,5,7,5,5,6,4,3,8,50,171,37,37,33,3,2,5,9,10,11,12,12,5,2,6,23,29,35,35,33,3,2,6,27,39,96,97,83,3,4,8,24,35,78,163,147,1619.0,1.0,171.0,16.86,96.0,1.9045886255611528,5.447498321533203,9.01945686340332
14时09分43秒.676,2,4,4,4,3,3,2,4,3,3,4,4,4,5,4,5,2,2,5,5,5,7,7,6,1,2,4,3,4,2,3,3,3,3,4,4,4,5,4,3,4,2,5,7,8,8,9,8,2,2,4,4,3,4,3,4,3,2,7,50,169,37,36,35,3,2,6,8,10,11,12,12,4,2,7,23,32,37,35,33,2,3,7,27,39,97,97,82,2,2,6,24,34,78,162,147,1611.0,1.0,169.0,16.78,96.0,1.9092978887563572,5.447498321533203,9.01945686340332
14时09分43秒.725,4,2,2,3,2,2,3,2,3,4,4,4,6,4,5,5,3,3,5,5,6,8,8,4,2,3,4,4,2,2,2,2,2,3,2,4,4,4,3,2,2,4,6,7,7,9,8,8,4,3,4,5,6,5,5,5,4,4,8,49,170,37,36,34,4,1,4,9,10,11,12,12,4,1,5,23,29,37,34,33,4,2,7,27,39,97,98,82,4,1,6,24,35,78,164,148,1617.0,1.0,170.0,16.84,96.0,1.911957331063842,5.447498321533203,9.01945686340332
14时09分43秒.774,1,3,3,3,2,2,2,4,4,3,5,5,4,4,3,5,2,1,3,5,8,5,5,6,2,1,3,2,4,4,5,3,2,2,5,3,5,5,5,6,4,2,5,9,7,8,8,9,2,2,4,6,5,4,4,5,3,3,6,49,170,37,36,34,4,3,5,10,9,11,12,14,4,2,7,23,32,37,34,32,4,4,9,27,39,97,97,81,3,2,6,24,35,78,164,148,1624.0,1.0,170.0,16.92,96.0,1.9001437419045568,5.447498321533203,9.01945686340332
14时09分43秒.825,2,3,3,2,3,2,2,2,4,3,3,5,4,4,6,8,3,3,4,6,6,5,6,4,2,2,3,2,2,3,1,2,2,2,3,4,4,3,3,3,4,3,4,7,8,7,8,9,2,2,5,6,4,5,5,6,2,2,7,49,170,37,37,35,3,4,5,9,11,11,12,12,4,4,6,23,29,37,34,32,3,1,6,27,39,97,97,82,3,4,7,25,35,78,164,148,1610.0,1.0,170.0,16.77,96.0,1.9212757454228777,5.447498321533203,9.01945686340332
14时09分43秒.876,5,3,2,3,4,2,2,2,3,2,4,4,4,4,4,4,2,2,3,4,5,5,5,8,3,2,2,4,2,1,2,3,3,2,4,5,4,5,5,5,3,4,5,7,8,8,8,8,1,4,4,5,4,3,5,5,2,1,7,49,170,36,36,34,3,3,5,10,10,14,12,12,3,2,8,23,30,37,34,33,3,4,6,27,39,97,97,82,3,2,7,24,34,78,162,147,1606.0,1.0,170.0,16.73,96.0,1.9167433281004282,5.4682440757751465,9.049813270568848
14时09分43秒.925,2,4,1,2,2,3,3,2,3,2,5,4,6,6,5,5,4,2,4,5,5,7,5,5,3,4,3,2,4,1,2,2,3,2,3,4,3,4,2,3,3,2,3,8,8,9,8,8,3,2,5,6,5,5,5,5,3,1,5,49,170,36,36,35,5,4,5,9,10,11,11,12,4,4,5,22,29,36,34,33,3,2,6,28,40,97,97,82,4,4,7,24,35,78,163,147,1608.0,1.0,170.0,16.75,96.0,1.916985858403054,5.4682440757751465,9.049813270568848
14时09分43秒.975,2,3,2,3,3,2,2,4,2,2,2,5,4,4,4,5,2,4,4,5,4,4,5,6,3,2,4,2,4,3,3,3,3,2,4,5,4,5,5,4,3,3,5,7,8,8,9,8,4,1,3,4,3,3,4,4,3,1,6,49,170,36,36,34,4,4,5,9,11,11,13,12,4,3,5,22,30,36,34,33,4,2,8,27,39,97,97,81,3,1,5,24,34,77,163,147,1596.0,1.0,170.0,16.62,96.0,1.9297448149392336,5.4682440757751465,9.049813270568848
14时09分44秒.026,3,2,1,1,2,4,3,2,3,4,4,4,5,7,5,5,4,3,4,7,6,6,6,5,2,2,3,4,2,1,3,1,2,3,4,4,3,5,3,5,2,3,4,7,9,7,10,7,5,2,4,6,6,4,5,8,2,3,6,50,170,37,36,34,3,2,5,9,11,13,13,12,4,3,6,22,30,36,34,32,2,2,6,27,39,97,97,83,2,2,8,25,34,80,163,148,1620.0,1.0,170.0,16.88,96.0,1.9077441869770362,5.4682440757751465,9.049813270568848
14时09分44秒.075,3,3,3,2,2,3,4,2,4,4,4,4,4,4,4,4,3,4,5,5,5,4,6,4,2,2,3,2,2,3,4,4,3,2,5,4,4,5,4,4,4,1,5,7,7,8,8,8,3,2,4,5,4,4,4,4,2,2,7,49,170,37,36,34,4,4,6,9,10,12,13,11,2,4,6,22,30,36,35,32,4,2,8,27,39,97,97,82,3,3,7,25,34,78,162,147,1609.0,1.0,170.0,16.76,96.0,1.9115846789423596,5.4682440757751465,9.049813270568848
14时09分44秒.126,3,2,2,2,2,2,4,3,3,2,4,5,4,5,5,5,4,2,4,5,7,6,4,5,2,4,2,4,4,2,3,3,5,2,3,4,4,4,4,4,2,2,5,7,8,8,8,8,2,2,4,6,5,6,6,5,4,2,6,49,170,37,36,34,4,3,5,8,10,11,13,11,2,4,7,22,30,36,34,32,2,3,7,27,38,98,99,83,4,2,6,25,35,78,163,147,1615.0,2.0,170.0,16.82,96.0,1.912375756246154,5.465324878692627,9.028792381286621
