##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时15分22秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时15分22秒.701,2,2,3,5,2,1,2,1,3,2,2,2,2,2,4,4,3,2,6,8,6,9,9,9,3,4,5,3,3,4,4,3,4,2,4,4,3,4,4,4,2,2,6,8,8,11,13,12,3,1,7,5,6,5,6,5,3,2,7,25,15,16,16,14,3,2,3,4,4,3,4,3,2,1,7,11,14,18,17,17,2,2,6,14,24,71,55,52,4,3,5,15,22,76,90,82,983.0,1.0,90.0,10.24,96.0,1.6497632753356113,5.363682746887207,8.709562301635742
14时15分22秒.760,3,3,3,3,1,3,3,4,3,3,3,2,5,1,3,4,3,2,4,6,8,8,9,10,2,1,2,2,2,3,2,3,4,2,4,4,4,5,5,5,3,1,6,8,10,13,16,14,3,3,7,5,5,7,5,4,4,2,5,24,14,16,15,16,2,2,3,3,3,4,4,2,4,4,7,13,14,21,19,17,4,1,5,17,24,71,56,52,2,2,5,13,22,76,90,83,998.0,1.0,90.0,10.4,96.0,1.6361237410356033,5.363682746887207,8.709562301635742
14时15分22秒.808,2,3,2,4,2,2,3,2,2,4,2,1,4,2,2,2,4,2,5,8,8,10,9,10,2,4,3,3,3,3,2,3,4,3,4,4,4,5,5,4,4,2,5,9,9,12,13,13,4,2,6,5,6,5,6,4,4,3,6,24,14,16,15,16,2,1,3,4,3,3,3,4,4,2,7,12,13,19,17,17,3,4,6,14,24,71,55,52,3,2,6,15,25,77,90,83,998.0,1.0,90.0,10.4,96.0,1.6328214105074108,5.363682746887207,8.709562301635742
14时15分22秒.859,2,3,4,4,2,5,3,2,3,2,4,3,3,2,2,4,4,4,5,5,8,8,8,8,2,2,2,1,2,2,4,2,4,4,5,4,4,5,5,6,4,2,6,8,9,12,16,13,3,2,5,6,5,5,7,6,3,4,6,23,16,16,14,14,4,3,2,3,4,4,3,3,5,2,6,12,13,19,17,17,4,2,8,14,24,71,55,52,3,3,6,14,21,77,89,82,999.0,1.0,89.0,10.41,96.0,1.614119933876884,5.363682746887207,8.709562301635742
14时15分22秒.907,3,3,3,3,1,3,2,1,1,2,2,3,2,2,3,3,4,3,7,6,8,9,8,9,4,2,3,4,2,4,1,2,3,2,5,4,5,3,3,4,2,3,4,9,10,12,13,13,4,2,6,5,5,5,6,6,5,2,8,24,16,18,16,16,3,3,1,4,2,3,3,2,3,3,5,12,13,19,17,17,4,1,7,16,24,71,54,52,3,2,6,13,24,77,91,84,991.0,1.0,91.0,10.32,96.0,1.6567336751520414,5.33753776550293,8.740161895751953
14时15分22秒.959,2,2,5,4,3,2,3,4,1,1,4,2,3,2,4,3,4,4,4,7,8,8,8,8,3,4,4,2,3,3,2,2,2,4,3,4,4,6,4,6,3,2,5,7,9,12,13,13,3,2,6,5,5,5,6,5,3,3,5,23,16,16,14,16,3,2,2,4,4,4,5,2,2,2,6,12,13,19,17,19,3,1,6,16,24,71,54,54,4,3,6,16,22,79,91,84,999.0,1.0,91.0,10.41,96.0,1.649547298981409,5.33753776550293,8.740161895751953
14时15分23秒.007,2,3,4,2,1,1,1,3,2,2,2,1,3,2,3,2,4,3,6,8,7,9,9,9,3,2,3,4,4,4,3,2,3,2,4,4,5,4,3,4,3,2,5,8,9,12,13,13,4,2,6,4,5,5,5,4,5,2,7,23,16,18,14,15,3,3,4,3,3,2,3,2,3,2,6,12,13,19,17,17,2,4,8,14,23,71,54,53,3,2,7,15,21,79,92,86,989.0,1.0,92.0,10.3,96.0,1.6788160360828557,5.33753776550293,8.740161895751953
14时15分23秒.059,4,1,4,3,3,4,4,3,3,2,3,2,2,2,1,4,1,3,5,5,6,9,6,8,2,2,3,3,3,3,2,2,4,4,4,5,4,6,5,6,4,2,5,10,9,14,13,13,3,2,6,5,5,5,7,5,4,3,7,21,14,16,14,15,4,1,2,1,3,3,3,2,5,1,6,12,16,19,17,17,2,3,8,14,23,70,55,53,2,1,5,15,22,79,93,85,990.0,1.0,93.0,10.31,96.0,1.6748522587877575,5.33753776550293,8.740161895751953
14时15分23秒.107,4,2,2,2,4,1,4,2,3,2,2,2,2,2,5,1,2,2,7,6,8,10,9,9,3,3,3,5,4,3,2,3,4,3,4,4,4,4,3,4,2,4,6,8,10,13,13,13,3,4,5,6,5,5,4,7,2,2,8,25,16,16,17,15,3,4,5,3,4,3,4,3,4,4,6,14,13,18,17,17,2,2,5,16,23,71,55,53,2,3,6,15,22,78,93,85,1011.0,1.0,93.0,10.53,96.0,1.638954004350961,5.33753776550293,8.740161895751953
14时15分23秒.157,2,4,5,4,3,3,4,2,3,5,3,2,3,3,3,2,3,3,5,6,6,9,8,8,2,1,1,2,4,2,3,2,2,2,4,5,6,6,5,4,4,3,6,9,9,13,16,13,4,3,6,5,6,5,6,5,4,2,7,23,15,16,14,13,4,1,3,3,3,2,3,3,3,4,7,14,16,20,20,19,4,1,6,16,23,71,55,53,4,2,8,13,22,78,93,84,1015.0,1.0,93.0,10.57,96.0,1.6277958213760113,5.326601028442383,8.684236526489258
14时15分23秒.207,3,2,1,2,2,2,3,1,2,2,2,4,4,2,2,5,3,2,6,6,6,10,9,9,4,2,2,3,2,3,2,3,2,2,4,4,5,4,5,4,3,2,5,8,10,13,13,13,3,2,8,6,5,6,4,6,5,3,5,23,15,16,16,16,3,4,4,3,3,4,2,4,3,4,7,13,16,18,17,18,4,2,6,15,23,71,55,52,5,2,6,15,22,79,93,84,1004.0,1.0,93.0,10.46,96.0,1.64818458805758,5.326601028442383,8.684236526489258
14时15分23秒.257,1,2,3,3,2,2,5,2,3,2,3,4,4,2,2,2,2,2,5,5,6,8,7,8,4,2,4,3,3,4,5,2,3,3,5,5,4,5,4,5,3,2,5,9,11,13,13,13,3,2,7,4,5,5,4,6,3,2,6,23,14,14,15,14,1,2,2,4,1,2,3,3,4,3,7,13,16,20,17,18,2,3,6,15,23,70,56,52,4,4,7,15,21,79,93,84,992.0,1.0,93.0,10.33,96.0,1.667698258615689,5.326601028442383,8.684236526489258
14时15分23秒.307,2,5,3,2,3,3,2,2,2,1,2,2,2,3,2,3,1,3,5,8,9,10,9,9,5,2,4,3,2,3,4,2,4,1,3,4,4,4,3,5,4,3,5,8,10,13,15,13,4,3,7,4,6,5,5,5,3,2,6,23,14,16,17,16,2,2,3,3,1,3,5,4,3,1,6,13,13,18,17,16,3,2,7,14,23,70,54,53,4,2,6,15,21,79,94,85,995.0,1.0,94.0,10.36,96.0,1.669680095231906,5.326601028442383,8.684236526489258
14时15分23秒.359,3,1,3,3,2,3,2,5,2,3,4,3,3,1,2,3,2,3,5,6,6,8,9,8,2,3,4,3,3,3,3,2,3,3,5,4,7,5,6,5,4,2,8,9,11,13,13,15,4,4,5,5,7,5,5,6,5,2,5,23,14,16,16,13,2,3,2,4,2,2,2,2,5,4,7,13,17,18,17,19,2,2,6,13,23,71,55,53,3,4,7,15,21,77,93,85,1010.0,1.0,93.0,10.52,96.0,1.6332192615681518,5.334653377532959,8.690098762512207
