##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时00分27秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时00分27秒.924,2,2,1,2,4,3,2,1,2,2,3,3,2,3,2,3,4,2,4,2,4,7,9,5,4,3,6,3,4,7,5,4,3,3,4,3,3,7,6,5,4,3,5,2,4,7,7,8,3,1,8,2,4,8,7,7,3,4,4,2,4,6,4,5,3,2,4,3,2,4,2,2,4,4,5,4,4,6,5,5,2,2,2,2,2,1,2,2,2,4,4,4,5,8,9,9,375.0,1.0,9.0,3.91,96.0,0.50808923100836,4.6016950607299805,6.305084705352783
14时00分27秒.976,2,2,3,3,5,4,3,4,2,2,2,2,2,1,4,2,2,2,4,4,3,6,6,5,1,4,4,4,2,5,4,5,3,3,4,2,4,6,8,6,3,2,3,2,4,7,8,7,4,2,7,3,3,8,6,7,3,1,3,3,4,5,3,3,2,2,2,4,2,2,3,3,2,2,4,2,2,8,6,6,3,2,4,3,5,4,3,3,2,2,4,2,4,8,9,10,361.0,1.0,10.0,3.76,96.0,0.5188787875500969,4.6016950607299805,6.305084705352783
14时00分28秒.026,2,4,3,2,2,2,1,1,2,2,3,3,2,2,2,3,3,3,4,3,3,9,6,8,4,3,5,3,5,7,4,4,3,2,4,2,4,6,4,6,3,2,4,3,3,7,8,7,3,1,7,3,3,8,7,8,4,3,5,4,4,6,6,4,2,2,3,3,3,4,2,3,2,2,4,4,3,6,7,6,3,3,4,4,3,1,3,3,4,4,6,4,2,9,10,8,381.0,1.0,10.0,3.97,96.0,0.5084484736657532,4.486876487731934,6.384514331817627
14时00分28秒.077,2,2,2,2,2,4,4,3,3,2,3,3,2,4,3,4,3,3,4,4,4,8,6,6,3,3,5,3,2,5,3,5,2,4,4,2,2,6,6,5,3,3,5,4,2,7,9,7,3,3,9,2,5,8,7,7,3,4,3,4,5,6,4,3,3,2,2,2,5,4,3,2,2,3,4,4,4,6,6,8,5,4,4,3,4,4,3,3,3,4,5,3,2,8,8,9,391.0,2.0,9.0,4.07,96.0,0.45555177893408544,4.486876487731934,6.384514331817627
14时00分28秒.124,4,4,3,2,2,1,2,3,2,2,3,1,3,2,2,4,3,4,5,4,6,7,8,9,3,2,7,4,5,5,6,5,2,2,4,1,3,6,5,4,4,3,4,2,5,8,8,7,3,4,7,2,3,8,7,7,3,4,2,4,3,6,4,4,1,2,3,3,2,4,4,4,3,3,4,3,4,8,5,6,3,2,4,3,2,2,2,2,4,4,4,4,3,8,9,9,386.0,1.0,9.0,4.02,96.0,0.4999664409259243,4.486876487731934,6.384514331817627
14时00分28秒.176,2,2,4,3,3,4,4,5,2,2,2,2,3,3,2,4,3,3,6,3,4,6,7,8,3,2,4,2,2,5,4,4,4,2,4,2,4,5,6,4,2,2,6,2,3,8,8,9,3,3,9,3,2,7,7,7,2,3,4,2,2,3,3,4,3,2,1,2,4,3,3,2,3,3,4,2,5,7,8,6,3,2,4,2,1,2,2,4,2,4,6,2,3,8,11,9,371.0,1.0,11.0,3.86,96.0,0.5484297631077704,4.486876487731934,6.384514331817627
14时00分28秒.224,2,2,3,2,4,2,2,3,3,3,2,3,2,2,2,1,2,2,5,3,4,6,6,8,3,3,7,3,3,7,5,5,3,2,5,3,4,5,5,4,2,3,6,2,4,8,6,7,4,4,8,2,2,6,7,7,4,2,4,2,4,6,5,5,2,3,3,3,2,4,2,3,4,4,4,2,3,6,7,5,2,3,4,4,2,2,1,3,4,4,4,3,5,8,9,10,376.0,1.0,10.0,3.92,96.0,0.49120835662192325,4.486876487731934,6.384514331817627
14时00分28秒.274,3,2,2,3,3,4,4,5,2,2,3,3,2,4,3,3,3,4,4,3,2,6,8,6,3,3,3,2,3,4,5,4,3,3,4,3,3,5,4,5,2,3,4,2,4,10,8,8,4,2,9,2,5,8,7,7,2,1,6,3,2,5,3,5,3,2,4,2,2,2,2,2,3,3,4,4,4,7,8,8,3,2,3,2,4,4,2,3,4,3,6,3,3,8,10,10,383.0,1.0,10.0,3.99,96.0,0.5248950988359041,4.570496082305908,6.29895544052124
14时00分28秒.324,3,2,2,2,3,4,2,4,3,2,3,2,1,3,2,3,3,3,5,4,5,7,9,8,2,4,5,3,4,6,5,5,4,2,5,2,3,6,5,4,4,2,5,3,4,9,6,8,3,4,8,2,2,6,8,5,2,3,4,3,2,5,6,5,3,2,4,3,3,4,4,3,4,3,3,3,2,5,8,5,2,3,3,2,3,2,3,4,2,3,5,3,4,8,9,8,382.0,1.0,9.0,3.98,96.0,0.47982229470935467,4.570496082305908,6.29895544052124
14时00分28秒.376,2,4,3,2,2,3,3,4,2,3,4,2,4,2,4,3,4,2,4,3,3,6,8,6,2,2,5,3,3,4,4,4,4,2,4,2,3,5,5,6,3,1,5,4,3,7,7,8,2,3,8,5,4,7,8,8,4,2,3,3,5,5,4,4,2,4,4,1,2,2,4,1,4,2,3,2,4,6,6,6,2,2,4,2,3,4,3,4,2,2,5,4,5,9,10,8,376.0,1.0,10.0,3.92,96.0,0.48982401843495055,4.570496082305908,6.29895544052124
14时00分28秒.426,4,3,3,3,2,2,4,2,2,2,2,4,4,3,2,2,2,2,3,3,4,8,8,8,4,2,5,3,2,6,5,4,4,2,4,2,2,6,5,5,3,2,3,2,4,7,6,8,2,4,9,4,3,6,8,6,4,3,3,2,3,5,4,5,4,2,4,1,1,3,3,1,5,3,4,3,4,6,5,6,2,1,2,4,2,4,2,4,3,3,4,4,5,8,10,9,371.0,1.0,10.0,3.86,96.0,0.5129444499908881,4.570496082305908,6.29895544052124
14时00分28秒.476,4,2,3,4,5,5,3,2,3,3,2,2,3,4,2,1,4,3,5,5,3,7,7,8,4,2,3,2,2,5,4,4,4,2,4,4,4,6,5,5,3,2,4,4,4,8,8,8,4,2,8,2,3,8,9,7,3,4,4,4,3,5,4,5,4,1,2,3,3,2,2,4,2,5,4,4,4,7,6,7,2,4,4,3,4,4,2,4,3,3,5,2,5,9,9,10,399.0,1.0,10.0,4.16,96.0,0.4791033452734016,4.482456207275391,6.264410972595215
14时00分28秒.527,2,3,3,4,2,2,2,2,1,2,2,1,2,3,2,2,2,3,6,5,3,7,8,8,3,2,7,2,4,5,6,4,3,3,4,3,4,5,4,4,2,4,2,2,4,8,8,7,3,2,6,3,2,8,6,6,4,3,5,2,4,8,6,4,3,2,3,3,4,4,2,4,2,2,5,2,3,6,6,7,3,2,2,2,2,2,2,3,2,2,5,2,5,8,9,10,368.0,1.0,10.0,3.83,96.0,0.5412999825212492,4.482456207275391,6.264410972595215
14时00分28秒.575,4,4,2,3,3,5,3,3,3,5,4,4,3,2,1,3,5,2,5,3,4,9,8,8,2,3,5,1,3,5,6,4,4,3,4,2,3,5,7,6,2,3,4,3,4,7,9,8,4,3,8,2,4,9,7,7,2,2,4,2,3,4,4,4,3,3,2,4,1,4,2,3,4,4,4,3,4,7,6,8,2,3,3,2,4,5,4,1,3,5,5,4,4,8,10,9,402.0,1.0,10.0,4.19,96.0,0.4938923017246059,4.482456207275391,6.264410972595215
14时00分28秒.626,2,2,2,2,4,3,2,1,3,2,2,2,2,2,2,2,3,3,4,4,3,7,6,8,2,4,5,3,3,8,4,4,3,1,2,4,4,5,4,4,3,4,4,3,5,6,7,7,2,2,6,2,5,9,6,6,2,2,5,3,4,5,5,5,4,4,4,3,4,5,2,2,4,3,4,3,3,6,8,6,3,2,2,2,2,3,2,2,3,4,4,4,4,9,10,10,372.0,1.0,10.0,3.88,96.0,0.511063855411447,4.482456207275391,6.264410972595215
14时00分28秒.674,4,2,1,2,3,2,2,2,2,3,3,2,2,3,4,2,4,2,5,4,3,6,8,5,1,3,4,3,3,5,6,3,2,4,5,3,2,5,6,5,3,2,4,3,3,8,9,7,4,4,8,4,4,8,7,6,2,2,3,3,5,5,3,4,2,2,3,2,2,2,3,3,3,4,5,5,4,6,7,8,2,3,2,2,2,5,3,2,1,3,5,4,4,10,9,8,373.0,1.0,10.0,3.89,96.0,0.5185779457027864,4.482456207275391,6.264410972595215
14时00分28秒.724,2,3,1,2,2,2,2,2,4,3,2,3,2,2,3,3,2,2,5,5,4,5,5,6,4,4,6,5,5,5,6,6,3,2,4,2,4,5,5,5,3,2,5,2,4,8,8,7,1,3,8,4,4,6,8,8,2,3,3,2,5,5,6,4,4,3,3,1,2,2,2,3,3,3,3,3,2,8,5,8,4,4,5,3,1,2,1,1,4,2,4,3,5,8,10,9,375.0,1.0,10.0,3.91,96.0,0.5239643753793446,4.465333461761475,6.2866668701171875
14时00分28秒.777,2,3,4,2,2,4,5,3,2,2,2,4,1,4,2,2,1,2,4,4,4,6,6,8,2,3,5,3,4,3,5,3,3,2,3,3,2,5,4,5,2,3,4,4,4,8,8,8,4,3,8,4,4,7,8,5,4,3,4,2,3,4,4,4,4,2,2,1,3,3,2,2,3,4,4,2,3,7,8,8,2,3,3,3,3,4,5,4,4,3,4,2,5,9,10,9,377.0,1.0,10.0,3.93,96.0,0.5069506124990348,4.465333461761475,6.2866668701171875
14时00分28秒.826,2,4,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2,2,4,4,3,5,8,8,2,3,6,4,5,5,5,5,2,3,5,4,3,4,5,5,2,2,4,2,3,8,8,6,4,3,9,3,4,7,8,6,3,4,5,3,4,6,5,5,3,2,3,4,4,2,3,4,4,3,3,2,5,6,6,6,2,4,4,4,3,2,2,2,3,2,5,4,3,9,9,9,376.0,1.0,9.0,3.92,96.0,0.5034961517531589,4.465333461761475,6.2866668701171875
14时00分28秒.882,2,5,4,3,4,4,3,3,2,2,4,4,2,2,4,4,3,3,6,4,3,8,8,7,3,3,4,3,5,4,3,5,3,2,5,3,3,5,6,5,2,3,3,4,5,7,9,8,3,4,8,2,3,5,6,8,3,3,4,4,4,5,2,3,2,2,2,2,1,2,0,2,3,2,4,2,3,5,7,6,2,1,3,4,3,4,4,1,2,2,5,3,4,7,9,9,372.0,1.0,9.0,3.92,95.0,0.48970497322849127,4.465333461761475,6.2866668701171875
14时00分28秒.926,2,2,1,3,2,2,3,2,2,2,1,2,2,3,2,3,2,4,4,3,4,6,8,7,2,4,6,2,5,6,5,5,4,3,5,3,2,5,5,5,4,4,3,3,4,7,8,8,2,2,8,3,4,8,7,6,3,2,3,4,4,5,7,5,4,1,3,4,4,4,3,4,2,3,5,4,4,5,8,8,2,2,1,2,2,1,2,2,4,2,5,4,4,9,9,8,378.0,1.0,9.0,3.94,96.0,0.5194624816493197,4.584656238555908,6.330687999725342
14时00分28秒.977,2,4,4,2,4,4,2,4,3,3,3,3,3,2,4,2,4,2,4,3,3,7,8,6,3,1,5,3,3,4,3,6,4,2,4,2,4,5,4,5,1,3,5,4,3,8,8,9,4,3,8,4,4,8,8,7,4,2,2,3,4,4,4,5,1,2,2,1,3,2,3,3,2,2,5,4,3,7,8,7,3,2,3,3,2,4,4,4,4,2,5,4,4,8,9,9,384.0,1.0,9.0,4.0,96.0,0.5,4.584656238555908,6.330687999725342
14时00分29秒.024,2,2,3,3,4,2,1,3,2,4,3,3,3,2,3,3,3,2,5,2,2,6,8,7,3,4,6,4,4,6,5,5,4,5,4,3,4,5,5,5,3,4,6,2,3,8,6,5,3,3,7,1,4,8,8,6,3,2,4,3,4,6,6,5,5,1,4,2,3,5,3,3,4,1,4,3,3,6,5,6,1,1,4,3,3,1,2,2,4,2,4,3,5,9,9,10,381.0,1.0,10.0,3.97,96.0,0.4912485616436605,4.584656238555908,6.330687999725342
14时00分29秒.074,1,3,3,2,3,4,3,3,3,2,2,3,3,4,2,2,3,3,4,3,3,6,8,6,4,3,3,2,2,4,5,4,2,3,4,2,4,6,4,6,6,2,6,4,4,9,9,8,4,2,8,4,3,7,7,5,3,3,4,3,3,3,4,4,4,3,3,2,2,2,4,3,4,5,5,4,3,5,8,7,3,4,3,2,4,4,2,2,3,3,5,4,5,8,9,9,386.0,1.0,9.0,4.02,96.0,0.470761816310875,4.584656238555908,6.330687999725342
14时00分29秒.125,1,2,3,3,2,4,2,4,2,2,2,2,2,4,2,1,3,2,5,3,4,6,8,7,3,3,5,3,4,6,4,5,4,1,3,2,5,5,8,5,4,2,4,3,3,6,8,6,4,2,8,4,3,7,6,8,2,2,4,4,3,6,5,5,2,2,3,3,3,3,4,3,3,3,4,3,4,8,7,7,3,1,2,4,2,2,4,2,3,3,3,3,4,9,9,9,376.0,1.0,9.0,3.92,96.0,0.5101948429056085,4.584656238555908,6.330687999725342
14时00分29秒.175,2,2,5,2,3,3,3,4,2,3,4,3,2,3,2,4,2,3,4,3,4,8,7,7,1,2,5,2,3,4,3,4,3,2,4,3,5,6,5,5,3,2,5,4,3,7,8,9,4,4,8,3,3,8,7,8,2,2,3,1,4,4,2,3,2,2,4,2,3,2,2,2,4,2,4,3,3,5,8,8,4,4,4,3,2,3,3,3,2,4,6,4,4,9,9,10,379.0,1.0,10.0,3.95,96.0,0.5226605913473934,4.5422163009643555,6.299472332000732
14时00分29秒.226,1,2,4,1,2,1,3,2,2,3,4,1,2,2,2,1,1,3,5,3,3,6,8,7,4,3,7,3,3,8,5,6,2,3,4,4,3,6,5,5,1,2,4,4,3,7,7,7,3,5,8,1,4,7,8,9,2,2,3,4,3,5,4,4,3,2,4,2,2,2,2,3,4,4,5,4,3,6,7,5,3,2,4,1,2,2,1,3,2,2,4,3,4,8,9,9,364.0,1.0,9.0,3.79,96.0,0.5593611689065676,4.5422163009643555,6.299472332000732
14时00分29秒.275,1,2,3,3,4,4,2,2,4,2,4,4,1,3,4,2,3,4,4,4,3,8,6,8,2,3,4,3,2,5,5,5,3,3,6,4,5,6,5,6,2,5,5,3,3,8,9,9,3,2,8,4,5,8,7,6,2,4,3,2,5,4,2,4,2,4,3,4,3,4,3,1,4,3,5,3,3,7,6,6,4,3,3,4,4,6,4,3,2,3,5,4,4,8,9,9,401.0,1.0,9.0,4.18,96.0,0.46359229682476744,4.5422163009643555,6.299472332000732
14时00分29秒.327,3,4,2,2,4,4,2,2,2,2,2,2,2,4,4,2,4,2,4,2,3,7,7,8,4,3,7,4,2,5,5,5,4,3,4,3,4,5,6,6,1,3,3,3,4,7,8,6,4,4,8,3,4,7,10,8,2,2,5,5,3,8,5,3,2,4,4,3,3,3,4,3,4,3,4,4,4,6,7,5,2,1,2,4,2,2,1,1,4,4,4,2,4,8,8,10,388.0,1.0,10.0,4.04,96.0,0.5036797319713858,4.5422163009643555,6.299472332000732
14时00分29秒.374,2,4,2,3,4,3,4,2,2,4,3,2,2,4,2,4,2,4,5,2,3,6,8,7,2,2,5,4,4,4,5,5,2,3,4,3,4,5,5,5,4,2,4,2,4,7,9,9,3,4,10,3,2,8,8,7,2,4,4,2,2,4,5,4,2,3,1,3,2,2,2,1,3,4,3,5,2,9,5,7,4,3,3,2,3,4,4,4,3,2,5,2,3,10,10,9,384.0,1.0,10.0,4.0,96.0,0.5388548815157318,4.552083492279053,6.234375
14时00分29秒.424,2,3,3,2,2,4,2,2,2,2,2,1,4,3,2,4,2,3,5,2,3,8,7,6,3,2,6,4,5,5,5,5,2,2,4,4,4,5,6,4,4,3,4,4,2,7,6,7,3,1,8,3,4,8,7,8,3,3,3,2,4,6,5,5,3,4,2,4,3,3,4,2,4,2,4,4,4,5,6,6,2,1,2,2,4,1,3,2,4,5,3,4,4,8,10,10,377.0,1.0,10.0,3.93,96.0,0.5002444364479396,4.552083492279053,6.234375
14时00分29秒.475,2,2,3,2,4,4,3,2,4,2,1,3,3,4,2,4,2,2,4,3,4,5,8,5,2,3,4,2,2,5,6,5,3,3,4,3,4,8,6,5,5,4,5,3,4,10,8,8,4,2,8,3,2,7,8,7,4,2,5,2,2,4,5,3,2,2,1,1,4,2,2,2,4,2,4,4,4,6,8,7,4,2,3,2,1,4,3,3,4,2,5,2,4,9,10,9,380.0,1.0,10.0,3.96,96.0,0.5395186117363999,4.552083492279053,6.234375
14时00分29秒.525,1,2,3,1,2,2,2,2,2,2,1,3,2,2,2,2,3,3,5,2,2,8,9,7,3,3,4,3,3,6,5,5,4,4,2,4,4,5,5,4,3,2,3,3,4,7,6,6,3,2,9,3,4,6,7,6,3,2,4,2,2,6,6,6,3,2,3,2,3,2,3,4,3,2,4,2,2,6,6,7,2,3,2,1,4,2,3,2,3,2,3,4,3,9,10,9,355.0,1.0,10.0,3.7,96.0,0.5549152782886404,4.552083492279053,6.234375
14时00分29秒.576,3,4,2,2,4,3,4,3,2,2,4,3,4,5,2,3,4,4,6,3,2,5,8,6,3,3,3,4,3,5,4,4,4,4,4,2,4,5,5,4,4,2,5,3,4,9,8,9,4,3,9,2,5,8,6,7,3,3,3,2,2,4,5,2,3,2,1,3,3,2,3,1,3,4,5,4,5,6,6,6,2,4,4,2,3,4,3,2,4,3,4,4,4,9,9,9,388.0,1.0,9.0,4.04,96.0,0.47231798717341467,4.384020805358887,6.193298816680908
14时00分29秒.628,2,2,2,2,2,4,1,2,1,3,2,2,1,3,2,2,3,2,5,4,4,7,8,8,4,2,6,3,4,5,6,4,4,2,3,4,3,4,5,5,2,4,5,2,4,6,7,8,4,2,8,2,5,8,9,8,2,1,3,4,4,5,6,5,3,1,4,3,4,3,4,4,3,4,5,4,4,6,6,7,2,2,2,1,2,3,2,2,2,4,5,3,4,9,10,9,379.0,1.0,10.0,3.95,96.0,0.539027594883114,4.384020805358887,6.193298816680908
14时00分29秒.675,1,3,3,4,1,2,3,4,3,3,4,2,3,4,3,2,4,4,5,2,4,7,7,8,3,2,6,4,3,5,4,4,4,3,3,3,3,6,5,4,4,2,6,4,3,8,9,7,3,3,7,3,5,8,8,7,4,3,3,4,3,4,3,4,2,3,3,2,3,1,2,4,3,2,3,3,5,6,6,7,2,5,3,2,2,3,4,4,2,3,6,2,4,9,9,10,388.0,1.0,10.0,4.04,96.0,0.4895550544570625,4.384020805358887,6.193298816680908
14时00分29秒.727,2,4,2,3,2,3,1,2,2,2,4,2,2,4,2,3,2,3,5,3,4,9,7,7,3,3,6,3,4,6,6,4,3,3,6,3,5,6,6,4,3,2,4,2,4,7,8,7,4,3,8,2,4,7,9,7,3,4,4,4,4,6,6,4,2,2,4,3,4,4,2,3,4,3,4,4,5,5,5,5,4,3,2,2,3,4,1,2,2,2,4,3,4,9,9,9,389.0,1.0,9.0,4.05,96.0,0.4849762755302591,4.384020805358887,6.193298816680908
