##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时35分54秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时35分54秒.871,5,38,40,40,40,36,21,6,5,19,22,21,21,21,17,5,5,5,6,5,5,5,6,5,5,5,5,5,4,5,5,5,5,936,892,946,778,140,33,6,5,1050,1224,1304,1376,149,33,6,5,917,965,1328,1377,158,33,6,5,1080,1219,1537,1426,154,33,6,4,1064,1362,1539,1364,150,33,5,5,642,830,775,644,138,33,5,5,76,76,76,77,65,26,5,5,74,75,76,76,59,25,5,28964.0,4.0,1539.0,301.71,96.0,1.6097761979792837,3.216766834259033,6.998722553253174
14时35分54秒.970,5,42,40,44,42,36,21,6,5,22,22,22,22,21,17,5,5,5,5,6,6,6,6,6,5,5,6,5,6,4,6,5,6,937,892,948,778,140,34,5,6,1052,1226,1306,1380,149,33,6,5,916,965,1331,1377,157,33,5,5,1080,1220,1540,1429,153,33,5,5,1064,1362,1539,1363,151,33,6,5,643,832,779,647,138,33,6,6,76,76,76,77,64,25,5,6,74,75,75,76,59,25,5,29017.0,4.0,1540.0,302.26,96.0,1.6081800113494402,3.216407537460327,6.993331432342529
14时35分55秒.069,6,44,44,42,42,37,22,5,5,22,22,22,22,22,19,6,5,7,6,5,5,6,5,5,5,5,6,5,5,5,6,5,5,939,894,952,781,139,32,6,5,1054,1227,1310,1380,149,33,5,5,917,965,1328,1377,158,33,5,5,1084,1221,1541,1432,153,33,5,6,1066,1362,1542,1367,151,33,6,5,645,833,780,647,138,33,6,6,74,75,76,75,64,26,6,5,74,75,76,76,59,25,5,29058.0,5.0,1542.0,302.69,96.0,1.6079865674028384,3.216407537460327,6.993331432342529
14时35分55秒.169,5,41,43,43,42,37,22,5,5,22,22,22,22,22,17,7,5,5,6,5,6,6,5,5,6,5,5,5,6,5,5,5,5,942,895,953,781,140,32,5,5,1057,1229,1313,1384,150,33,6,6,917,965,1329,1377,159,33,5,5,1084,1221,1542,1431,153,33,5,6,1069,1363,1542,1366,150,33,5,6,646,833,780,648,138,33,6,5,75,76,77,77,65,26,5,7,74,75,76,76,59,25,5,29084.0,5.0,1542.0,302.96,96.0,1.6078474477219558,3.216407537460327,6.993331432342529
14时35分55秒.269,7,41,43,43,42,37,22,5,5,22,20,22,22,21,17,5,6,6,6,5,6,5,5,5,5,5,5,8,6,5,5,5,5,942,892,951,781,140,32,5,6,1057,1229,1313,1381,150,33,6,5,918,965,1330,1377,158,33,5,7,1082,1219,1541,1430,153,33,6,5,1068,1363,1543,1365,150,33,8,6,644,831,776,645,138,33,7,5,75,77,78,78,65,26,5,5,74,75,76,76,59,25,5,29066.0,5.0,1543.0,302.77,96.0,1.6076099532790287,3.215681552886963,6.992086887359619
14时35分55秒.371,6,41,43,43,42,37,22,6,4,22,20,22,22,21,17,5,6,5,6,5,6,6,5,5,5,5,5,5,4,5,5,5,5,942,891,953,781,140,32,5,5,1056,1227,1312,1382,150,34,6,6,918,965,1330,1377,158,33,5,5,1082,1219,1541,1430,153,34,6,6,1068,1362,1543,1365,150,33,6,6,644,829,774,644,138,32,6,5,76,78,80,79,65,26,5,5,74,73,76,76,59,25,5,29052.0,4.0,1543.0,302.62,96.0,1.608158605288236,3.215681552886963,6.992086887359619
14时35分55秒.468,7,42,43,44,42,37,22,6,5,21,22,21,21,21,17,6,5,6,6,5,5,5,5,5,6,5,6,6,5,5,5,5,5,943,892,953,782,140,33,6,5,1056,1227,1313,1383,149,33,5,5,918,965,1331,1377,159,33,5,6,1084,1220,1542,1429,153,34,5,5,1068,1362,1542,1363,150,33,4,5,644,830,774,644,137,33,5,6,76,78,79,78,65,26,6,5,74,74,76,76,59,25,5,29060.0,4.0,1542.0,302.71,96.0,1.6080101996455336,3.215681552886963,6.992086887359619
14时35分55秒.569,5,42,43,44,42,37,22,5,5,21,21,21,21,19,16,6,5,5,5,6,6,6,5,5,5,6,5,5,6,4,5,5,5,944,894,954,782,140,33,6,5,1060,1228,1314,1384,149,33,5,6,920,965,1332,1379,159,33,6,4,1083,1220,1545,1429,153,34,5,5,1068,1363,1543,1364,150,34,5,6,644,829,773,644,137,33,5,5,76,77,77,77,65,26,5,5,74,75,76,76,59,25,5,29069.0,4.0,1545.0,302.8,96.0,1.6089922546229904,3.2151949405670166,6.991176128387451
14时35分55秒.670,5,42,44,45,44,38,22,5,5,20,21,21,21,21,18,5,4,6,5,6,6,6,6,6,5,6,6,6,6,5,5,5,5,947,893,954,782,140,33,8,5,1057,1227,1314,1384,149,33,5,5,920,965,1332,1380,160,33,5,5,1083,1220,1545,1429,153,34,6,5,1068,1363,1544,1364,151,33,4,5,644,829,772,643,138,33,5,6,75,77,77,77,65,26,6,6,74,75,76,77,59,24,5,29083.0,4.0,1545.0,302.95,96.0,1.6079003644881,3.2151949405670166,6.991176128387451
14时35分55秒.769,5,42,44,44,44,39,22,6,5,20,21,21,21,21,18,5,6,5,5,6,5,5,6,4,5,5,5,5,5,6,5,5,5,950,894,955,782,140,33,6,8,1057,1227,1314,1384,151,33,6,5,921,965,1332,1379,160,33,5,5,1084,1221,1545,1429,156,34,5,5,1070,1364,1544,1364,153,33,6,6,644,831,775,643,140,33,5,5,74,75,76,76,64,26,6,6,75,75,75,77,59,24,7,29101.0,4.0,1545.0,303.14,96.0,1.6075730540010398,3.2151949405670166,6.991176128387451
14时35分55秒.869,5,42,43,44,45,39,22,4,5,20,19,20,21,21,16,5,6,5,5,6,5,6,5,6,5,5,6,5,5,4,5,5,5,949,892,954,782,140,33,5,5,1060,1228,1314,1384,151,33,5,5,921,965,1332,1379,162,33,5,5,1084,1220,1545,1432,156,34,5,6,1069,1364,1544,1365,153,33,5,5,644,832,775,644,140,33,5,5,73,75,75,76,65,26,6,6,73,75,76,77,59,24,5,29091.0,4.0,1545.0,303.03,96.0,1.6087324533314407,3.216028928756714,6.99077033996582
