##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时34分22秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时34分22秒.438,5,316,472,467,535,487,66,5,5,372,524,688,651,512,64,5,5,258,573,670,552,327,63,7,5,5,5,5,5,6,5,5,5,29,28,29,28,28,20,5,4,5,5,5,5,5,5,5,5,30,30,32,32,32,24,5,6,22,22,23,24,23,18,6,5,23,24,25,24,24,21,5,5,27,27,27,28,29,23,5,5,55,60,61,64,66,36,5,5,38,39,39,40,39,26,5,9120.0,4.0,688.0,95.0,96.0,1.8877845159281355,3.736842155456543,2.659320116043091
14时34分22秒.552,4,324,474,467,536,487,67,6,5,380,524,687,652,512,65,6,6,261,575,668,542,327,63,5,7,6,4,5,5,6,5,6,5,28,28,29,28,28,22,6,5,5,5,5,4,4,5,6,5,29,30,32,30,32,23,5,5,22,22,24,24,24,18,5,6,23,24,25,25,25,21,5,5,27,27,26,27,27,23,5,5,55,60,61,64,66,36,5,8,38,39,39,40,39,26,5,9137.0,4.0,687.0,95.18,96.0,1.8846199837763717,3.736842155456543,2.659320116043091
14时34分22秒.637,6,326,477,470,540,487,68,6,6,383,525,687,655,510,66,5,5,262,567,668,542,327,63,6,6,5,4,6,5,5,7,5,5,29,28,32,28,28,22,5,5,4,5,5,5,5,6,5,5,29,29,30,30,32,23,4,5,22,22,24,23,23,18,6,5,24,25,25,25,25,20,5,6,26,27,26,26,27,23,5,5,56,59,61,64,66,38,5,5,38,39,40,40,40,26,6,9150.0,4.0,687.0,95.31,96.0,1.8837238997630161,3.731475353240967,2.6515846252441406
14时34分22秒.752,4,325,477,470,541,490,69,5,4,381,528,693,660,514,67,6,6,262,572,680,549,329,63,5,6,5,5,5,5,5,5,5,5,29,32,32,32,32,22,5,5,6,5,5,6,5,6,5,5,29,29,30,30,30,23,4,5,21,22,22,21,23,17,5,6,24,25,25,25,25,20,4,6,26,27,26,26,28,22,5,5,56,60,61,65,66,37,7,6,38,39,40,39,40,26,5,9199.0,4.0,693.0,95.82,96.0,1.887591215913369,3.731475353240967,2.6515846252441406
14时34分22秒.836,5,320,471,471,544,492,70,6,6,381,536,691,651,514,67,5,5,261,571,685,552,332,64,6,5,5,5,5,5,5,6,6,6,28,29,30,27,27,21,5,5,5,4,5,4,6,5,5,6,29,29,30,29,30,22,5,5,21,22,21,21,19,17,5,5,24,25,25,28,25,22,5,6,26,27,27,26,28,22,5,5,56,60,61,64,66,38,5,6,38,39,40,39,40,26,5,9185.0,4.0,691.0,95.68,96.0,1.8915271215538092,3.731475353240967,2.6515846252441406
14时34分22秒.955,4,320,472,479,548,504,73,5,5,382,527,702,671,537,70,6,5,259,559,685,558,338,67,6,6,4,6,5,5,5,6,5,5,27,25,27,26,26,19,5,5,5,5,6,4,5,6,5,5,33,33,34,33,34,26,5,6,21,22,22,22,23,19,5,6,22,23,25,25,24,21,5,5,26,28,27,26,28,23,6,5,56,60,61,64,67,39,5,5,38,39,40,40,40,29,5,9281.0,4.0,702.0,96.68,96.0,1.8903556957233565,3.7541751861572266,2.6461050510406494
14时34分23秒.036,5,330,480,485,560,516,76,6,5,386,537,707,683,549,73,5,5,269,581,688,572,346,68,6,6,5,5,5,5,5,5,5,6,27,28,30,27,26,21,5,5,4,5,5,6,5,5,5,6,34,37,35,35,35,26,5,6,21,22,22,22,21,19,5,5,22,23,22,25,24,20,5,5,27,27,27,26,28,23,6,5,58,63,63,64,68,38,5,5,39,39,40,40,40,28,5,9455.0,4.0,707.0,98.49,96.0,1.8899797051846345,3.7541751861572266,2.6461050510406494
14时34分23秒.136,6,331,484,484,562,517,75,5,5,387,537,703,683,551,73,6,6,269,587,685,578,347,68,5,5,5,4,6,5,6,6,4,5,26,26,26,24,26,20,6,5,5,4,5,4,6,6,5,4,32,33,34,35,34,26,5,6,21,21,22,23,22,18,6,5,21,21,21,22,23,20,5,5,28,31,28,31,32,24,5,5,58,61,63,64,68,39,5,5,39,39,39,40,40,28,5,9456.0,4.0,703.0,98.5,96.0,1.8936023037309422,3.7541751861572266,2.6461050510406494
14时34分23秒.236,6,332,484,484,561,518,75,5,5,390,542,706,685,552,72,5,5,270,588,688,574,348,68,5,5,6,5,6,6,5,6,5,5,25,25,26,24,25,19,6,6,4,5,4,5,5,5,4,5,32,33,33,34,33,26,5,5,21,22,22,23,23,18,6,6,21,21,21,22,23,19,5,6,28,30,29,30,32,25,5,5,57,61,62,64,69,39,5,5,39,39,40,40,40,27,5,9466.0,4.0,706.0,98.6,96.0,1.896053196564717,3.7491021156311035,2.628776788711548
14时34分23秒.336,6,334,484,487,561,519,74,5,6,388,540,708,686,550,72,5,6,271,596,694,578,348,68,6,5,5,5,6,6,6,6,6,5,25,25,26,25,25,19,5,5,5,5,5,5,4,4,6,6,34,37,35,34,35,26,6,6,22,23,23,23,24,18,6,5,21,22,24,22,23,19,4,6,26,27,27,28,29,23,5,6,57,61,62,64,66,38,6,6,39,39,40,40,40,27,5,9496.0,4.0,708.0,98.92,96.0,1.8957734568675806,3.7491021156311035,2.628776788711548
