##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260713_151358_single_device_77d029
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,12
cols,8
data_points,96
data_stage,processed_display
has_raw_adc,false
display_mode,adc
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95
627388.854459,0.009000,0,0,8,9,8,7,0,6,0,5,10,21,15,13,8,12,5,0,5,7,0,0,0,0,0,5,6,8,7,7,6,7,0,0,8,11,10,9,8,8,5,0,0,0,0,0,0,0,0,5,11,21,17,13,8,12,8,5,9,12,11,9,8,11,6,5,10,16,13,13,8,11,6,0,9,16,13,12,8,12,5,0,10,17,14,13,9,11,5,5,11,19,16,15,7,12,5
627388.872248,0.027000,1,0,7,9,7,7,5,6,0,0,11,21,15,13,9,12,0,0,8,8,0,0,0,0,0,5,7,8,7,8,5,8,0,5,7,11,9,9,8,8,5,5,5,5,0,0,0,0,5,5,11,21,16,13,8,12,7,0,8,12,10,11,8,11,5,0,10,16,13,12,8,11,6,0,9,16,13,14,9,12,6,0,9,17,14,15,10,11,8,0,11,19,16,15,8,12,6
627388.888896,0.043000,2,0,8,9,7,7,6,7,5,5,10,20,15,13,8,12,7,0,7,7,5,5,0,0,0,0,6,9,6,7,6,7,0,5,8,10,9,9,8,9,5,5,5,0,0,0,0,0,0,5,11,21,16,16,9,12,7,6,8,12,10,10,8,11,6,0,8,15,12,12,8,13,6,0,10,16,13,13,9,12,6,0,9,16,14,13,9,11,6,0,11,19,16,15,8,12,6
627388.912805,0.067000,3,0,8,9,7,8,0,6,0,0,9,20,15,13,8,11,5,0,6,8,5,0,0,0,0,5,6,8,7,8,6,6,5,0,8,10,9,8,7,8,6,0,5,0,0,0,0,0,0,0,10,21,16,14,8,12,6,0,8,11,9,9,7,11,5,5,9,15,12,12,8,11,5,0,9,16,13,13,9,12,6,0,9,16,14,13,9,11,6,0,11,19,16,15,9,12,6
627388.927657,0.082000,4,0,8,9,8,8,5,6,0,5,10,20,15,13,7,11,6,0,6,8,5,0,0,0,0,5,7,8,8,8,6,6,0,0,8,11,9,9,8,8,5,0,0,5,0,0,0,0,0,6,10,21,16,13,9,14,5,0,9,13,10,11,8,11,5,5,9,15,12,12,9,13,6,0,9,15,13,13,8,12,6,0,9,16,14,13,9,11,7,5,11,21,16,15,9,12,7
627388.960636,0.115000,5,0,8,8,7,5,5,6,5,5,10,20,15,13,9,13,5,5,7,7,0,0,0,0,0,0,6,8,7,6,6,8,5,0,6,11,9,9,8,9,5,0,5,5,0,0,0,0,0,5,10,24,16,13,9,13,6,0,9,13,9,9,8,11,5,0,9,15,12,12,8,13,7,0,9,15,16,13,9,12,6,0,10,16,14,13,9,13,5,0,11,20,15,15,9,14,6
627388.961124,0.115000,6,0,8,9,7,6,0,6,5,6,10,22,15,13,8,11,6,0,5,6,0,0,0,0,0,5,8,8,8,7,6,6,0,0,7,11,10,9,7,9,5,0,6,5,0,0,0,0,0,5,10,22,16,13,9,13,6,5,9,13,10,10,8,11,6,5,10,13,14,11,8,13,6,0,8,15,14,13,9,12,0,5,10,16,14,13,9,12,6,5,11,19,15,15,9,13,5
627388.993952,0.148000,7,0,9,9,7,6,5,7,0,6,10,21,15,13,8,11,5,0,7,7,0,0,0,0,0,0,6,8,8,8,5,7,5,0,8,11,8,9,9,9,5,5,5,0,0,0,0,0,0,5,10,21,16,13,9,13,7,0,9,13,9,11,8,11,5,0,9,16,13,13,9,13,5,0,9,15,14,12,8,12,6,0,10,16,14,13,9,11,6,5,11,19,15,15,9,13,5
627389.010725,0.165000,8,0,8,9,7,6,6,6,0,0,10,21,15,13,8,11,6,0,8,6,0,0,0,0,0,5,6,8,7,8,5,7,5,5,8,11,9,9,7,9,5,0,5,0,0,0,0,0,0,0,11,21,16,13,9,12,6,0,9,13,10,10,8,11,8,0,9,16,13,13,8,11,6,0,9,15,14,12,9,12,5,0,9,16,14,13,9,11,5,5,11,19,15,15,9,13,6
627389.027938,0.182000,9,0,8,9,8,5,0,7,0,0,10,20,15,15,8,11,6,0,6,6,5,0,0,0,0,5,6,9,8,7,5,6,0,0,9,11,9,8,7,9,0,0,6,5,0,0,0,0,0,0,11,21,16,15,8,12,5,0,9,11,11,11,7,11,5,5,10,16,13,13,8,13,6,5,9,15,14,12,10,12,6,0,10,18,13,13,9,11,6,5,11,19,15,15,9,12,5
