##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260713_161027_single_device_1b77d5
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,12
cols,8
data_points,96
data_stage,processed_display
has_raw_adc,false
display_mode,adc
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95
630778.571483,0.000000,0,0,11,11,10,18,25,11,5,0,7,7,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,12,12,8,0,5,13,13,12,20,23,11,5,0,16,13,10,17,17,10,5,0,13,13,11,17,18,10,5,0,15,12,13,23,21,11,5,0,15,12,11,16,18,10,6,0,16,16,13,22,20,11,5
630778.571533,0.000000,1,0,11,11,10,18,26,10,6,0,8,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,10,12,12,9,5,0,13,13,11,20,23,11,6,5,16,16,12,17,17,10,5,0,13,12,13,20,18,9,5,0,13,12,11,23,21,13,6,0,13,12,11,16,18,9,6,0,16,13,12,20,20,11,6
630778.571546,0.000000,2,0,13,11,11,18,26,9,5,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,9,12,12,8,5,0,13,13,11,20,23,11,5,0,16,13,12,17,17,9,5,5,13,12,12,18,18,9,6,0,13,12,13,23,21,11,6,0,13,12,11,16,18,9,6,5,16,16,12,20,20,11,6
630778.594169,0.013000,3,5,13,13,10,18,26,9,5,0,7,6,5,5,5,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,12,12,9,5,5,13,13,11,20,23,11,5,5,16,13,11,17,17,10,5,0,13,12,11,20,17,10,5,5,13,12,12,23,21,11,6,0,13,14,11,18,18,10,5,5,16,16,14,19,20,11,6
630778.614682,0.034000,4,0,12,12,10,20,26,10,0,0,9,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,9,12,14,7,5,5,15,13,10,20,23,11,5,0,16,12,10,17,17,9,5,0,13,12,13,19,17,10,5,0,13,12,11,23,21,10,5,0,13,12,10,16,17,9,5,0,16,13,13,18,20,11,5
630778.631370,0.050000,5,5,11,12,9,19,26,10,5,0,7,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,10,12,13,9,5,5,13,13,10,20,23,11,0,0,18,12,10,17,17,10,5,0,13,11,12,18,17,10,0,0,13,12,11,23,21,11,5,0,13,12,10,16,16,10,0,0,16,13,13,18,20,11,5
630778.631639,0.051000,6,0,11,11,10,18,26,10,5,0,8,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,10,12,13,9,5,5,13,13,11,20,23,11,5,0,16,12,10,17,17,10,5,0,13,11,12,18,17,11,5,0,13,14,11,24,21,11,5,5,13,12,11,16,16,11,5,5,16,16,13,18,20,11,5
630778.657982,0.077000,7,0,11,11,11,18,26,10,5,0,8,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,12,13,9,5,5,13,13,11,20,23,11,6,0,16,12,11,17,17,10,6,0,12,11,12,18,17,10,0,5,13,14,13,24,21,11,6,0,13,12,10,16,16,10,5,0,16,15,13,21,20,11,6
630778.695210,0.114000,8,5,11,11,10,20,26,11,6,0,8,7,0,0,0,0,0,5,5,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,11,10,10,12,13,8,5,0,13,13,11,20,23,11,5,0,16,12,11,17,17,11,5,5,12,11,12,18,17,10,5,5,13,13,13,24,24,10,5,0,13,12,11,16,16,9,6,0,16,14,13,21,20,11,5
630778.724515,0.143000,9,0,13,11,11,19,26,11,5,5,8,6,0,5,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,9,12,13,8,6,0,13,13,11,20,23,11,6,0,16,12,11,17,17,10,6,0,11,13,12,18,17,10,5,0,13,13,12,24,21,13,7,0,13,12,11,16,18,10,5,0,16,14,12,20,20,11,5
630778.741799,0.161000,10,5,13,11,9,18,26,11,6,0,8,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,11,11,10,12,13,9,6,0,13,13,11,20,23,11,6,0,16,14,10,17,16,12,0,0,13,12,12,18,17,9,5,0,13,13,12,24,22,11,5,0,13,12,11,16,18,10,5,5,16,14,12,20,20,11,5
630778.741820,0.161000,11,0,11,11,11,18,26,11,0,5,7,7,5,0,5,0,0,0,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,10,12,13,9,5,6,13,13,11,20,24,11,5,0,16,14,10,17,16,9,5,0,13,11,11,18,17,11,5,0,13,13,12,24,22,11,5,0,13,12,11,16,17,10,5,0,16,14,12,19,20,11,6
630778.774684,0.194000,12,0,11,13,10,18,26,11,0,5,8,6,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,11,11,9,12,13,9,6,5,13,13,11,20,24,13,5,0,16,13,10,17,18,10,5,5,13,13,11,18,17,10,5,0,13,13,12,24,21,11,5,0,15,12,11,16,17,11,6,0,16,14,12,19,19,11,5
630778.791276,0.210000,13,5,11,12,11,18,26,11,5,0,9,7,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,5,0,0,0,5,10,11,9,12,13,8,5,0,13,13,10,20,23,12,5,0,18,13,11,17,18,12,5,0,13,13,11,18,17,10,5,0,15,13,12,24,21,11,5,0,13,12,10,16,17,10,6,5,15,14,12,21,19,11,7
