##设备信息
设备名称,SyntheticMultiLayout 12x8
行数,12
列数,8
数据点数,48
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月11日_16时00分00秒
噪声描述,mode=glove_like noise_std=0.8
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96
16时0分0秒.000,9,8,8,8,8,11,6,12,10,2,9,6,9,4,9,8,9,8,7,6,5,8,9,6,8,9,7,9,11,5,12,9,10,9,9,7,7,7,7,11,4,6,9,8,8,6,9,8,6,9,6,9,4,8,8,9,7,8,7,9,10,6,6,9,10,9,10,6,13,7,8,4,4,9,9,9,8,7,6,9,6,6,7,6,5,4,5,10,9,11,8,9,6,11,8,3
16时0分0秒.050,6,8,9,9,6,11,8,11,10,3,9,7,7,5,10,9,9,10,7,5,6,7,9,7,6,10,8,9,10,6,11,9,10,10,12,10,8,9,6,12,5,7,10,9,9,7,7,10,7,10,6,9,4,8,8,9,7,8,7,10,8,7,9,8,11,8,10,5,13,7,6,6,4,8,9,8,9,6,6,8,7,5,8,7,7,4,3,10,8,10,7,10,5,12,7,5
16时0分0秒.100,8,10,7,8,6,11,8,11,9,4,8,8,7,3,10,9,8,9,8,5,6,7,7,5,7,9,8,10,14,6,13,10,10,9,14,10,9,9,8,12,6,7,11,11,9,6,8,9,5,10,6,11,6,9,8,10,6,9,8,8,9,8,5,8,9,10,9,5,12,8,7,5,5,6,9,7,10,6,7,9,6,5,8,5,6,3,4,10,8,10,7,9,6,10,8,3
16时0分0秒.150,9,9,9,9,7,10,8,10,9,4,9,7,7,5,8,9,9,9,7,8,7,7,8,7,6,10,7,11,12,7,11,8,9,11,13,12,10,10,6,12,5,8,13,12,9,8,8,8,5,10,9,11,6,9,7,11,9,9,9,10,11,7,8,9,10,10,10,6,13,8,8,4,4,5,9,8,7,5,7,11,5,6,8,8,6,3,6,9,7,9,7,10,5,11,7,4
16时0分0秒.200,7,8,7,8,7,12,8,10,10,3,10,8,8,4,10,9,9,10,7,6,7,8,8,8,7,9,9,13,14,7,12,9,9,11,14,12,11,9,8,13,4,8,14,14,10,7,9,9,6,11,8,12,6,9,9,9,8,9,8,13,11,8,7,9,10,9,9,6,13,7,8,7,5,7,10,8,9,5,6,10,6,7,8,7,8,5,4,7,6,10,8,8,6,11,7,3
16时0分0秒.250,8,9,7,7,7,11,6,9,10,3,10,8,7,6,9,9,7,10,8,7,5,8,8,7,8,11,10,11,13,8,11,9,10,12,17,15,12,10,8,13,5,8,15,14,13,8,10,8,7,12,10,13,8,11,9,9,7,9,11,13,10,8,7,9,10,10,9,7,10,7,7,5,4,6,11,9,10,7,7,10,5,5,8,10,5,4,5,9,7,9,6,9,6,11,8,5
16时0分0秒.300,9,10,7,9,6,10,6,11,9,3,10,7,6,6,8,10,8,11,8,9,6,9,8,7,8,10,10,13,16,9,10,9,11,11,17,15,14,12,9,12,6,9,17,16,14,10,10,7,7,11,11,16,8,12,9,10,9,10,9,13,12,8,8,8,11,10,11,6,13,9,9,5,5,6,10,7,8,6,6,10,6,5,8,6,6,3,4,9,9,11,6,8,6,9,6,4
16时0分0秒.350,8,9,9,9,6,11,7,10,9,4,10,7,7,4,9,10,8,11,8,9,6,9,8,5,9,11,11,11,15,9,12,9,9,12,19,17,14,11,9,12,5,10,19,18,17,9,10,9,8,12,12,16,11,10,10,9,10,9,10,13,13,10,9,8,9,10,10,6,13,8,8,5,4,7,11,7,9,7,6,9,5,6,8,7,5,4,5,10,8,10,7,9,5,10,7,5
16时0分0秒.400,8,11,8,7,6,12,8,11,10,4,9,8,8,4,9,9,9,10,9,9,7,9,9,7,9,12,11,14,16,9,12,9,11,12,19,19,15,14,9,11,7,10,19,19,15,10,11,9,8,12,11,18,9,13,10,10,10,11,11,15,12,9,8,9,11,10,10,7,14,8,8,5,4,7,10,8,9,8,8,10,6,6,8,7,5,3,5,9,8,10,7,9,6,9,9,3
16时0分0秒.450,7,9,7,8,6,11,7,9,10,4,12,7,8,5,8,9,8,11,9,9,6,9,8,8,8,12,11,16,15,9,13,8,11,12,19,21,16,13,10,12,8,11,20,20,18,11,10,10,9,14,14,20,13,12,9,9,9,11,12,16,14,9,7,9,10,11,11,7,13,8,8,6,4,7,10,9,10,5,6,10,7,7,8,5,6,5,5,10,7,9,7,8,5,11,7,4
