recording,spatial_threshold,mask_channels,total_retention,high_value_retention
1.5kg_20260710145618,5.0,536,0.9990527227281513,0.9991434089910052
1.5kg_20260710145716,5.0,535,0.9989736164246503,0.999016444508459
1kg_20260710145358,5.0,477,0.9988862792333479,0.9989541433955256
1kg_20260710145522,5.0,495,0.9989505485705812,0.9990530260233695
500g_20260710145113,5.0,296,0.9985618324743649,0.9989246011046617
500g_20260710145200,5.0,394,0.9987578319970665,0.9990011223255469
500g_20260710145249,5.0,282,0.9728991342502151,0.9733116673758005
1.5kg_20260710145618,8.0,476,0.9987306219303126,0.9991434089910052
1.5kg_20260710145716,8.0,495,0.9986110368962795,0.999016444508459
1kg_20260710145358,8.0,398,0.9985515000880543,0.9989541433955256
1kg_20260710145522,8.0,399,0.9971769948476893,0.9990530260233695
500g_20260710145113,8.0,221,0.9972766491121133,0.9989246011046617
500g_20260710145200,8.0,253,0.9979139465859896,0.9990011223255469
500g_20260710145249,8.0,230,0.9720591957526372,0.9733116673758005
1.5kg_20260710145618,10.0,455,0.9980497535286341,0.9991434089910052
1.5kg_20260710145716,10.0,455,0.9970238608160699,0.999016444508459
1kg_20260710145358,10.0,385,0.9979504845636344,0.9989541433955256
1kg_20260710145522,10.0,373,0.9949793479728469,0.9990530260233695
500g_20260710145113,10.0,214,0.9962595845599623,0.9989246011046617
500g_20260710145200,10.0,228,0.9960930324655832,0.9990011223255469
500g_20260710145249,10.0,220,0.9713867648509137,0.9733116673758005
1.5kg_20260710145618,12.0,454,0.997984392784125,0.9991434089910052
1.5kg_20260710145716,12.0,451,0.9967625922418405,0.999016444508459
1kg_20260710145358,12.0,363,0.9968115111989206,0.9989541433955256
1kg_20260710145522,12.0,356,0.9938075474005428,0.9990530260233695
500g_20260710145113,12.0,208,0.9956856343523081,0.9989246011046617
500g_20260710145200,12.0,226,0.9958633311923698,0.9990011223255469
500g_20260710145249,12.0,219,0.9711941232568415,0.9733116673758005
1.5kg_20260710145618,15.0,453,0.9979494104941047,0.9991434089910052
1.5kg_20260710145716,15.0,442,0.9963699335636176,0.999016444508459
1kg_20260710145358,15.0,345,0.9957439822964249,0.9989541433955256
1kg_20260710145522,15.0,351,0.9935617221338882,0.9990530260233695
500g_20260710145113,15.0,205,0.9956627215306422,0.9989246011046617
500g_20260710145200,15.0,224,0.9956203918087547,0.9990011223255469
500g_20260710145249,15.0,211,0.9708983879747979,0.9733116673758005
1.5kg_20260710145618,20.0,440,0.997249273058943,0.9991434089910052
1.5kg_20260710145716,20.0,441,0.996288411627446,0.999016444508459
1kg_20260710145358,20.0,338,0.9952704061255773,0.9989541433955256
1kg_20260710145522,20.0,349,0.993356174481011,0.9990530260233695
500g_20260710145113,20.0,202,0.9953333497191958,0.9989246011046617
500g_20260710145200,20.0,218,0.994852605474745,0.9990011223255469
500g_20260710145249,20.0,209,0.9708807841738858,0.9733116673758005
1.5kg_20260710145618,30.0,434,0.9969429236288627,0.9991434089910052
1.5kg_20260710145716,30.0,431,0.9956419205108491,0.999016444508459
1kg_20260710145358,30.0,330,0.9947304461611404,0.9989541433955256
1kg_20260710145522,30.0,344,0.9928679322111026,0.9990530260233695
500g_20260710145113,30.0,200,0.9948781856039426,0.9989246011046617
500g_20260710145200,30.0,213,0.9943171118743483,0.9990011223255469
500g_20260710145249,30.0,208,0.9708709106134716,0.9733116673758005
