device,recording,sample_rate_hz,channels,frames,method,mean_total_adc,std_total_adc,peak_to_peak_adc,first_difference_std,roughness_retention
fabric,织物垫 500 g (旧格式),10.0,96,353,raw,23101.100790513832,319.9595495669084,1145.0,23.717293255557607,1.0
fabric,织物垫 500 g (旧格式),10.0,96,353,ema_0.35s,23086.621127068975,331.15732250842774,1191.637099441199,8.003913372483222,0.3374716198109026
fabric,织物垫 500 g (旧格式),10.0,96,353,ema_0.8s,23062.107486382185,353.4732957502619,1290.2628947712656,6.158050244201292,0.25964388844238345
fabric,织物垫 500 g (旧格式),10.0,96,353,median3_ema,23074.622939561275,341.2384460190897,1237.2639189329166,6.454004042139952,0.27212228531295846
fabric,织物垫 500 g (旧格式),10.0,96,353,iir1_0.5hz,23086.12355367172,331.4522783957376,1188.9543839141916,7.611590908596459,0.32092999932919647
fabric,织物垫 500 g (旧格式),10.0,96,353,iir2_0.5hz,23080.302953408413,336.17056840644875,1239.3145154794147,7.545229393195412,0.31813197703019336
fabric,织物垫 500 g (旧格式),10.0,96,353,kalman_fast,23055.627891214837,359.17874116845366,1308.5217476883154,5.967812896599149,0.2516228488763459
fabric,织物垫 500 g (旧格式),10.0,96,353,kalman_stable,22977.057097517965,411.98427094781596,1423.2767516658496,4.828764507199402,0.20359677873729926
fabric,织物垫 500 g (旧格式),10.0,96,353,cell_median3_ema,23071.79363814992,341.58604649804,1234.8429720462664,6.476284940389689,0.27306172212008717
fabric,织物垫 500 g (旧格式),10.0,96,353,dual_state_kalman,23286.77021025593,459.28063493916574,1617.9690810832253,5.471396733599355,0.23069229168118743
fabric,织物垫 500 g (旧格式),10.0,96,353,huber_ema,23062.064478210832,353.57553368614174,1291.5414538882687,6.166739112851914,0.26001024005582424
fabric,织物垫 500 g (旧格式),10.0,96,353,adaptive_baseline,5301.025420636883,8895.213930765358,22729.858996445706,338.81188691436466,14.285436506755332
fabric,织物垫 1 kg (旧格式),10.0,96,321,raw,30658.328054298643,829.5674920272256,2715.0,100.77290923426389,1.0
fabric,织物垫 1 kg (旧格式),10.0,96,321,ema_0.35s,30619.531914669195,805.6263855080958,2799.7591259168294,33.94600876309252,0.33685649269268597
fabric,织物垫 1 kg (旧格式),10.0,96,321,ema_0.8s,30554.724855327608,776.1880363104862,3002.756097985475,23.00177022246556,0.22825350977011097
fabric,织物垫 1 kg (旧格式),10.0,96,321,median3_ema,30590.6410162528,793.3965639975371,2911.6898170302047,24.580734763827383,0.24392205157722752
fabric,织物垫 1 kg (旧格式),10.0,96,321,iir1_0.5hz,30618.127709753695,805.4007326315308,2793.9309987552406,32.546560741944475,0.3229693475087081
fabric,织物垫 1 kg (旧格式),10.0,96,321,iir2_0.5hz,30602.83497561206,800.1522682662476,2859.6400009814606,29.564073703657897,0.2933732282644648
fabric,织物垫 1 kg (旧格式),10.0,96,321,kalman_fast,30537.706007745885,769.317577282065,3039.071953036033,21.626585067951282,0.21460713233629666
fabric,织物垫 1 kg (旧格式),10.0,96,321,kalman_stable,30347.612686119166,712.175645508051,3113.5186162179816,13.683546343740607,0.1357859612044231
fabric,织物垫 1 kg (旧格式),10.0,96,321,cell_median3_ema,30587.15019764722,793.6945473725636,2913.291884016755,24.918748833860736,0.24727626723500495
fabric,织物垫 1 kg (旧格式),10.0,96,321,dual_state_kalman,30778.14378552505,534.4944562385118,2619.7603258495765,10.566548242704314,0.10485504807785755
fabric,织物垫 1 kg (旧格式),10.0,96,321,huber_ema,30469.698460216565,665.5007511607681,3004.9141297806673,18.341874478081134,0.1820119575534165
fabric,织物垫 1 kg (旧格式),10.0,96,321,adaptive_baseline,8216.809917837683,12205.752431733967,29964.18248506272,484.2008688757962,4.804871394058777
fabric,织物垫 500 g (新格式),55.6,96,12049,raw,17377.657095623425,9180.331527495153,23216.5,82.96221813578184,1.0
